# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_2000_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 2000 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
2000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2001,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2002,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2003,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2004,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2005,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2006,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2007,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2008,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2009,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2199,0.720000,0.720000,0.790000,0.790000,0.356692,0.356692,0.467748,0.467748
2399,0.807500,0.895000,0.777500,0.765000,0.609692,0.788732,0.541757,0.540117
2599,0.808333,0.810000,0.791667,0.820000,0.613809,0.630350,0.566213,0.618644
2799,0.825000,0.875000,0.795000,0.805000,0.650000,0.750449,0.579617,0.609688
2999,0.834000,0.870000,0.826000,0.950000,0.665019,0.702006,0.631398,0.862957
3199,0.825833,0.785000,0.836667,0.890000,0.651564,0.586856,0.655480,0.772657
3399,0.840714,0.930000,0.842857,0.880000,0.683004,0.851836,0.676466,0.752959
3599,0.848750,0.905000,0.849375,0.895000,0.697790,0.792848,0.686583,0.753637
3799,0.850000,0.860000,0.853889,0.890000,0.694164,0.387443,0.687550,0.554385
3999,0.860000,0.950000,0.856000,0.875000,0.713792,0.896104,0.692347,0.735729
4199,0.863636,0.900000,0.859545,0.895000,0.718147,0.746547,0.696924,0.737566
4399,0.858750,0.805000,0.855833,0.815000,0.703581,0.429825,0.684583,0.477401
4599,0.859231,0.865000,0.855000,0.845000,0.708156,0.729242,0.687526,0.689814
4799,0.858214,0.845000,0.857500,0.890000,0.706281,0.682312,0.693346,0.767736
4999,0.859667,0.880000,0.854667,0.815000,0.705800,0.633252,0.682934,0.413071
5199,0.853750,0.765000,0.858125,0.910000,0.696232,0.541374,0.693193,0.819712
5399,0.847941,0.755000,0.851471,0.745000,0.684131,0.497333,0.679019,0.465969
5599,0.849444,0.875000,0.851944,0.860000,0.686108,0.718532,0.679186,0.680073
5799,0.841579,0.700000,0.855263,0.915000,0.672499,0.434549,0.688111,0.829111
5999,0.840750,0.825000,0.856250,0.875000,0.670308,0.625668,0.690068,0.728084
6199,0.843333,0.895000,0.857143,0.875000,0.677879,0.781478,0.695147,0.747730
6399,0.836591,0.695000,0.855909,0.830000,0.665300,0.429373,0.692500,0.637488
6599,0.836304,0.830000,0.854783,0.830000,0.662588,0.520857,0.688010,0.526726
6799,0.840000,0.925000,0.855833,0.880000,0.670263,0.846343,0.690672,0.749478
6999,0.841600,0.880000,0.854200,0.815000,0.673363,0.751270,0.687584,0.614984
7199,0.838462,0.760000,0.853077,0.825000,0.666074,0.488055,0.685320,0.631889
7399,0.835741,0.765000,0.847963,0.715000,0.661498,0.545367,0.676610,0.459511
7599,0.836429,0.855000,0.847321,0.830000,0.662661,0.700289,0.675877,0.653450
7799,0.837586,0.870000,0.848621,0.885000,0.666574,0.728261,0.680952,0.762740
7999,0.838333,0.860000,0.848167,0.835000,0.669186,0.717884,0.681219,0.670000
8199,0.840000,0.890000,0.847581,0.830000,0.673336,0.779139,0.681172,0.659489
8399,0.841562,0.890000,0.847812,0.855000,0.677579,0.771713,0.682867,0.710000
8599,0.841970,0.855000,0.848636,0.875000,0.679015,0.711213,0.685079,0.749147
8799,0.844853,0.940000,0.847353,0.805000,0.685494,0.877250,0.683313,0.618022
8999,0.846143,0.890000,0.848429,0.885000,0.688584,0.780461,0.686156,0.769954
9199,0.847778,0.905000,0.848333,0.845000,0.691891,0.809657,0.686405,0.689628
9399,0.844595,0.730000,0.846892,0.795000,0.686075,0.473889,0.683829,0.589261
9599,0.844868,0.855000,0.847500,0.870000,0.687224,0.695058,0.685968,0.737797
9799,0.844103,0.815000,0.847949,0.865000,0.685852,0.638601,0.686732,0.715490
9999,0.846125,0.925000,0.847000,0.810000,0.690045,0.850270,0.685139,0.625394
10199,0.847439,0.900000,0.847561,0.870000,0.693351,0.760077,0.687493,0.722222
10399,0.848810,0.905000,0.847619,0.850000,0.696305,0.809084,0.687932,0.701165
10599,0.848605,0.840000,0.849419,0.925000,0.696040,0.683325,0.691811,0.849579
10799,0.847955,0.820000,0.849432,0.850000,0.694640,0.629896,0.691525,0.671737
10999,0.849000,0.895000,0.848778,0.820000,0.696377,0.758732,0.689732,0.587676
11199,0.849348,0.865000,0.847500,0.790000,0.696906,0.719801,0.687017,0.562363
11399,0.849362,0.850000,0.847979,0.870000,0.696436,0.621260,0.687445,0.689849
11599,0.847396,0.755000,0.846458,0.775000,0.692213,0.507538,0.684341,0.548011
11799,0.847857,0.870000,0.846531,0.850000,0.693501,0.729814,0.685129,0.695648
11999,0.846000,0.755000,0.845200,0.780000,0.689538,0.478057,0.682194,0.528757
12199,0.846667,0.880000,0.846471,0.910000,0.690880,0.758040,0.684903,0.817869
12399,0.846346,0.830000,0.845673,0.805000,0.690206,0.655975,0.683344,0.604302
