# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1300_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1300 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1301,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1302,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1303,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1304,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1305,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1399,0.910000,0.910000,0.940000,0.940000,0.642857,0.642857,0.778271,0.778271
1599,0.870000,0.850000,0.936667,0.935000,0.583748,0.557978,0.810480,0.820591
1799,0.844000,0.805000,0.886000,0.810000,0.649375,0.612557,0.741003,0.620342
1999,0.805714,0.710000,0.868571,0.825000,0.586748,0.454220,0.696169,0.577499
2199,0.797778,0.770000,0.856667,0.815000,0.560940,0.457739,0.660288,0.515199
2399,0.781818,0.710000,0.826364,0.690000,0.536101,0.452830,0.610291,0.425926
2599,0.780000,0.770000,0.814615,0.750000,0.537430,0.540000,0.585768,0.454148
2799,0.786667,0.830000,0.804667,0.740000,0.557630,0.660170,0.572198,0.478592
2999,0.797059,0.875000,0.817647,0.915000,0.574362,0.697556,0.593482,0.777894
3199,0.797368,0.800000,0.808947,0.735000,0.579174,0.608649,0.577988,0.449408
3399,0.806667,0.895000,0.806190,0.780000,0.602315,0.790000,0.581907,0.569008
3599,0.816957,0.925000,0.812174,0.875000,0.621783,0.833850,0.591844,0.701671
3799,0.820000,0.855000,0.816800,0.870000,0.620488,0.356984,0.592310,0.445983
3999,0.825926,0.900000,0.812222,0.755000,0.632752,0.789584,0.581983,0.461538
4199,0.825517,0.820000,0.812414,0.815000,0.628251,0.526004,0.578722,0.510453
4399,0.823871,0.800000,0.812258,0.810000,0.620481,0.431818,0.574719,0.489247
4599,0.825455,0.850000,0.808485,0.750000,0.628207,0.699549,0.571645,0.500948
4799,0.830000,0.905000,0.808571,0.810000,0.637816,0.797052,0.571958,0.577214
4999,0.827297,0.780000,0.809730,0.830000,0.627700,0.274406,0.569819,0.472705
5199,0.826923,0.820000,0.807436,0.765000,0.630505,0.646782,0.569671,0.531873
5399,0.817073,0.625000,0.804878,0.755000,0.608286,0.201108,0.565266,0.487876
5599,0.818837,0.855000,0.806279,0.835000,0.610699,0.661610,0.567750,0.619553
5799,0.816000,0.755000,0.804667,0.770000,0.607923,0.530741,0.567278,0.539401
5999,0.814468,0.780000,0.798723,0.665000,0.603460,0.491212,0.553028,0.208599
6199,0.816327,0.860000,0.795714,0.725000,0.610067,0.722084,0.550684,0.466019
6399,0.813529,0.745000,0.793922,0.750000,0.604168,0.460203,0.546923,0.456226
6599,0.814340,0.835000,0.794717,0.815000,0.603212,0.507463,0.545588,0.454920
6799,0.815455,0.845000,0.792909,0.745000,0.605405,0.669157,0.542089,0.454078
6999,0.816140,0.835000,0.792105,0.770000,0.606979,0.652851,0.540938,0.511418
7199,0.814576,0.770000,0.791186,0.765000,0.603477,0.511885,0.539274,0.498078
7399,0.809672,0.665000,0.786393,0.645000,0.594708,0.394542,0.532740,0.336573
7599,0.811587,0.870000,0.783810,0.705000,0.599116,0.731544,0.528145,0.391376
7799,0.813846,0.885000,0.784000,0.790000,0.606725,0.759162,0.532545,0.573864
7999,0.815224,0.860000,0.781642,0.705000,0.611702,0.717372,0.529352,0.413519
8199,0.817391,0.890000,0.783478,0.845000,0.617677,0.779272,0.535094,0.691665
8399,0.818873,0.870000,0.783803,0.795000,0.622674,0.730206,0.538180,0.591796
8599,0.820411,0.875000,0.784384,0.805000,0.626718,0.750150,0.540814,0.609297
8799,0.822400,0.895000,0.785867,0.840000,0.631986,0.789114,0.546029,0.683544
8999,0.824156,0.890000,0.785974,0.790000,0.636523,0.780373,0.547475,0.579706
9199,0.826203,0.905000,0.787595,0.850000,0.641089,0.809657,0.551670,0.699188
9399,0.824444,0.755000,0.788395,0.820000,0.638378,0.520078,0.554549,0.642999
9599,0.824458,0.825000,0.787229,0.740000,0.639618,0.630880,0.553473,0.492782
9799,0.823882,0.800000,0.786471,0.755000,0.638692,0.604704,0.551791,0.481810
9999,0.825862,0.910000,0.785517,0.745000,0.643194,0.820646,0.550488,0.501076
10199,0.827191,0.885000,0.787528,0.875000,0.647246,0.727230,0.557139,0.724427
10399,0.828462,0.885000,0.787582,0.790000,0.650304,0.769169,0.557980,0.581882
10599,0.828602,0.835000,0.788710,0.840000,0.650920,0.673203,0.560897,0.680671
10799,0.828316,0.815000,0.789474,0.825000,0.650243,0.618792,0.562087,0.616144
10999,0.829897,0.905000,0.790412,0.835000,0.653022,0.783055,0.563475,0.627792
11199,0.830202,0.845000,0.790101,0.775000,0.653389,0.671192,0.562605,0.518717
11399,0.830099,0.825000,0.790693,0.820000,0.652479,0.548736,0.562951,0.556596
11599,0.828544,0.750000,0.789126,0.710000,0.649148,0.497437,0.559916,0.417495
11799,0.829333,0.870000,0.789810,0.825000,0.651396,0.732703,0.562471,0.648170
11999,0.827383,0.725000,0.787757,0.680000,0.647154,0.407711,0.557909,0.304423
12199,0.828257,0.875000,0.785780,0.680000,0.649086,0.749097,0.553856,0.339184
12399,0.828468,0.840000,0.784324,0.705000,0.649820,0.684822,0.550959,0.394748
12599,0.824956,0.630000,0.783628,0.745000,0.643301,0.290304,0.550167,0.497041
12799,0.826609,0.920000,0.783217,0.760000,0.646919,0.840000,0.549749,0.522293
12999,0.827521,0.880000,0.781966,0.710000,0.649477,0.736177,0.548149,0.435413
13199,0.828739,0.900000,0.782689,0.825000,0.652099,0.800638,0.549832,0.644598
13399,0.829504,0.875000,0.781405,0.705000,0.654142,0.739692,0.547881,0.416419
13599,0.829756,0.845000,0.782033,0.820000,0.654703,0.689565,0.549125,0.625312
13799,0.831680,0.950000,0.782160,0.790000,0.658961,0.897383,0.550132,0.586818
13999,0.832835,0.905000,0.782047,0.775000,0.661453,0.810190,0.550172,0.548283
14199,0.830775,0.700000,0.782248,0.795000,0.657457,0.419505,0.550557,0.576359
14399,0.830000,0.780000,0.781985,0.765000,0.655493,0.463415,0.549284,0.402795
14599,0.829774,0.815000,0.780451,0.680000,0.655079,0.639095,0.546451,0.383845
14799,0.829111,0.785000,0.780000,0.750000,0.653643,0.570000,0.545635,0.500000
14999,0.827372,0.710000,0.780219,0.795000,0.649451,0.046053,0.545116,0.407514
15199,0.824748,0.645000,0.778417,0.655000,0.644013,0.327524,0.541714,0.337430
15399,0.825319,0.865000,0.779007,0.820000,0.644748,0.660804,0.542150,0.545455
15599,0.823287,0.680000,0.777832,0.695000,0.640133,0.210656,0.539177,0.273290
15799,0.819724,0.565000,0.776621,0.690000,0.632391,0.000000,0.536444,0.330381
15999,0.817347,0.645000,0.775442,0.690000,0.627149,0.202964,0.533739,0.324692
16199,0.817785,0.850000,0.773960,0.665000,0.627635,0.635613,0.530113,0.212876
16399,0.817020,0.760000,0.773046,0.705000,0.625924,0.491525,0.528158,0.381422
16599,0.815163,0.675000,0.771830,0.680000,0.621959,0.337276,0.525758,0.352030
16799,0.814968,0.800000,0.771290,0.730000,0.620796,0.307479,0.523643,0.241573
16999,0.814586,0.785000,0.771529,0.790000,0.619284,0.303305,0.523287,0.449108
17199,0.813585,0.735000,0.771132,0.740000,0.616544,0.205397,0.521620,0.287574
17399,0.813602,0.815000,0.771180,0.775000,0.616078,0.526612,0.521084,0.461851
17599,0.812699,0.740000,0.771718,0.815000,0.614466,0.488189,0.522731,0.637255
17799,0.813879,0.910000,0.773333,0.905000,0.617266,0.819495,0.526645,0.810114
17999,0.814850,0.895000,0.774251,0.850000,0.619183,0.779966,0.528392,0.675991
18199,0.813964,0.740000,0.774320,0.780000,0.616994,0.392523,0.528254,0.508929
18399,0.814503,0.860000,0.775556,0.880000,0.617670,0.651221,0.530280,0.708455
18599,0.815665,0.915000,0.776821,0.885000,0.619477,0.760631,0.532060,0.676148
18799,0.817257,0.955000,0.778457,0.920000,0.622511,0.898854,0.535179,0.821925
18999,0.818305,0.910000,0.779774,0.895000,0.624630,0.812010,0.537951,0.781068
19199,0.816536,0.660000,0.779497,0.755000,0.621366,0.375918,0.538326,0.524641
19399,0.816464,0.810000,0.780000,0.825000,0.621220,0.612245,0.539285,0.628450
19599,0.816011,0.775000,0.779781,0.760000,0.620546,0.550809,0.539119,0.524988
19799,0.815081,0.730000,0.780324,0.830000,0.618652,0.449429,0.540462,0.655452
19999,0.814813,0.790000,0.780909,0.835000,0.618355,0.580629,0.542122,0.670987
