# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_700_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 700 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
700,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
701,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
702,0.666667,0.666667,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
799,0.840000,0.840000,0.960000,0.960000,0.657973,0.657973,0.917458,0.917458
999,0.826667,0.820000,0.916667,0.895000,0.635429,0.624217,0.831035,0.788520
1199,0.832000,0.840000,0.908000,0.895000,0.661077,0.357945,0.807393,0.584158
1399,0.868571,0.960000,0.907143,0.905000,0.722021,0.888997,0.794745,0.727090
1599,0.883333,0.935000,0.906667,0.905000,0.741566,0.807007,0.783920,0.713597
1799,0.870000,0.810000,0.903636,0.890000,0.725518,0.623053,0.786456,0.779404
1999,0.834615,0.640000,0.890769,0.820000,0.658463,0.350708,0.758367,0.607629
2199,0.819333,0.720000,0.877333,0.790000,0.622735,0.356692,0.724676,0.467748
2399,0.828235,0.895000,0.864118,0.765000,0.646183,0.788732,0.704526,0.540117
2599,0.826316,0.810000,0.859474,0.820000,0.644767,0.630350,0.695341,0.618644
2799,0.830952,0.875000,0.854286,0.805000,0.656908,0.750449,0.688201,0.609688
