# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_2200_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 2200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
2200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2201,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2202,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2203,0.750000,0.750000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
2204,0.800000,0.800000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
2205,0.666667,0.666667,0.833333,0.833333,0.000000,0.000000,0.571429,0.571429
2206,0.714286,0.714286,0.857143,0.857143,0.000000,0.000000,0.588235,0.588235
2207,0.625000,0.625000,0.875000,0.875000,0.000000,0.000000,0.714286,0.714286
2208,0.666667,0.666667,0.888889,0.888889,0.270270,0.270270,0.769231,0.769231
2209,0.600000,0.600000,0.800000,0.800000,0.200000,0.200000,0.600000,0.600000
2210,0.636364,0.636364,0.818182,0.818182,0.214286,0.214286,0.620690,0.620690
2399,0.830000,0.830000,0.925000,0.925000,0.666667,0.666667,0.845996,0.845996
2599,0.830000,0.830000,0.930000,0.935000,0.660000,0.666667,0.860000,0.864865
2799,0.841667,0.865000,0.940000,0.960000,0.683376,0.730324,0.879993,0.920008
2999,0.848750,0.870000,0.951250,0.985000,0.696217,0.702006,0.900660,0.959173
3199,0.831000,0.760000,0.954000,0.965000,0.663486,0.542552,0.906108,0.928043
3399,0.847500,0.930000,0.955833,0.965000,0.696559,0.854182,0.910937,0.928087
3599,0.854286,0.895000,0.957143,0.965000,0.709286,0.771042,0.912754,0.917879
3799,0.853125,0.845000,0.958750,0.970000,0.700891,0.293528,0.914209,0.898529
3999,0.863333,0.945000,0.961111,0.980000,0.720861,0.885536,0.919217,0.958827
4199,0.867000,0.900000,0.962500,0.975000,0.725196,0.746547,0.921468,0.941315
4399,0.857273,0.760000,0.954545,0.875000,0.699780,0.259259,0.903587,0.665775
4599,0.859583,0.885000,0.957083,0.985000,0.708220,0.769493,0.909861,0.970000
4799,0.861923,0.890000,0.957692,0.965000,0.713396,0.775051,0.911118,0.926269
4999,0.861786,0.860000,0.955714,0.930000,0.709272,0.559194,0.905961,0.805987
5199,0.857667,0.800000,0.957333,0.980000,0.703637,0.609984,0.909856,0.959677
5399,0.847500,0.695000,0.955937,0.935000,0.681452,0.358840,0.907160,0.867617
5599,0.849118,0.875000,0.957353,0.980000,0.683392,0.711782,0.910029,0.956859
5799,0.842222,0.725000,0.957500,0.960000,0.671759,0.478475,0.910569,0.918625
5999,0.843684,0.870000,0.959211,0.990000,0.673691,0.706414,0.914087,0.978550
6199,0.847250,0.915000,0.959750,0.970000,0.683399,0.826353,0.915938,0.938619
6399,0.843810,0.775000,0.959048,0.945000,0.676284,0.535028,0.914386,0.882428
6599,0.843636,0.840000,0.958636,0.950000,0.673435,0.519231,0.913065,0.871795
6799,0.845435,0.885000,0.958043,0.945000,0.677033,0.758859,0.911935,0.887318
6999,0.844583,0.825000,0.957083,0.935000,0.674843,0.628765,0.909997,0.866173
7199,0.839800,0.725000,0.956400,0.940000,0.664089,0.408093,0.908645,0.876746
7399,0.835192,0.720000,0.952308,0.850000,0.655837,0.478001,0.900664,0.700000
7599,0.833889,0.800000,0.951667,0.935000,0.653187,0.587756,0.899462,0.868341
7799,0.835000,0.865000,0.951607,0.950000,0.657531,0.719393,0.899823,0.898167
7999,0.836379,0.875000,0.952241,0.970000,0.661711,0.748491,0.901408,0.939946
8199,0.839667,0.935000,0.952000,0.945000,0.669343,0.869922,0.901139,0.890000
8399,0.841452,0.895000,0.952097,0.955000,0.674355,0.782834,0.901611,0.909602
8599,0.841875,0.855000,0.952187,0.955000,0.675990,0.711098,0.901919,0.909874
8799,0.845000,0.945000,0.950455,0.895000,0.683281,0.887640,0.898595,0.790294
8999,0.846324,0.890000,0.949853,0.930000,0.686561,0.780373,0.897470,0.859902
9199,0.847857,0.900000,0.949714,0.945000,0.689815,0.799619,0.897268,0.889868
9399,0.844722,0.735000,0.949167,0.930000,0.684131,0.483330,0.896206,0.859155
9599,0.844595,0.840000,0.949459,0.960000,0.684654,0.664007,0.897018,0.918864
9799,0.844211,0.830000,0.949211,0.940000,0.684038,0.666241,0.896482,0.876429
