# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_600_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 600 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
600,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
601,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
602,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
799,0.875000,0.875000,0.920000,0.920000,0.731760,0.731760,0.834660,0.834660
999,0.847500,0.820000,0.907500,0.895000,0.677129,0.624217,0.809866,0.785495
1199,0.845000,0.840000,0.898333,0.880000,0.690804,0.357945,0.792531,0.444958
1399,0.873750,0.960000,0.898750,0.900000,0.740213,0.888997,0.783827,0.697840
1599,0.888000,0.945000,0.893000,0.870000,0.761549,0.843794,0.761020,0.585789
1799,0.874167,0.805000,0.885833,0.850000,0.740239,0.613479,0.753273,0.699910
1999,0.841429,0.645000,0.880714,0.850000,0.677911,0.365391,0.742483,0.682170
2199,0.828750,0.740000,0.866875,0.770000,0.648655,0.407677,0.708975,0.433009
2399,0.837222,0.905000,0.845556,0.675000,0.668552,0.809619,0.668311,0.390244
2599,0.834500,0.810000,0.839500,0.785000,0.664663,0.630350,0.656965,0.558522
2799,0.838636,0.880000,0.832273,0.760000,0.674869,0.760455,0.644654,0.519279
2999,0.841250,0.870000,0.837500,0.895000,0.678552,0.702006,0.651761,0.725634
3199,0.833462,0.740000,0.838846,0.855000,0.665029,0.507622,0.655832,0.700846
3399,0.840000,0.925000,0.837500,0.820000,0.679829,0.840933,0.657752,0.636547
3599,0.844333,0.905000,0.842000,0.905000,0.687549,0.792848,0.665762,0.782609
3799,0.845000,0.855000,0.844688,0.885000,0.684829,0.356984,0.666154,0.528302
3999,0.852059,0.965000,0.842647,0.810000,0.698698,0.927611,0.661414,0.589854
4199,0.855278,0.910000,0.840833,0.810000,0.703330,0.776092,0.654968,0.499671
4399,0.851053,0.775000,0.840526,0.835000,0.691666,0.342105,0.651489,0.544199
4599,0.850500,0.840000,0.835000,0.730000,0.692703,0.679005,0.642664,0.460054
4799,0.852381,0.890000,0.832857,0.790000,0.696778,0.777057,0.638139,0.548193
4999,0.853636,0.880000,0.832955,0.835000,0.696918,0.633252,0.635137,0.491995
5199,0.850435,0.780000,0.833261,0.840000,0.692206,0.572317,0.638094,0.679487
5399,0.845208,0.725000,0.828958,0.730000,0.681387,0.438890,0.628851,0.432952
5599,0.847000,0.890000,0.829200,0.835000,0.684215,0.754464,0.628663,0.621820
5799,0.839231,0.645000,0.826538,0.760000,0.670315,0.336573,0.625024,0.526767
5999,0.840556,0.875000,0.823704,0.750000,0.672539,0.731125,0.618418,0.438707
6199,0.842679,0.900000,0.818929,0.690000,0.678374,0.791558,0.610785,0.388259
6399,0.837241,0.685000,0.815690,0.725000,0.668177,0.408117,0.603822,0.409237
6599,0.837667,0.850000,0.816167,0.830000,0.667555,0.592391,0.602620,0.508671
6799,0.839516,0.895000,0.814677,0.770000,0.671286,0.784880,0.599482,0.509804
6999,0.840938,0.885000,0.813281,0.770000,0.674094,0.763860,0.596509,0.510065
7199,0.839242,0.785000,0.810606,0.725000,0.669958,0.544298,0.590713,0.414146
7399,0.838088,0.800000,0.805000,0.620000,0.668369,0.602069,0.580910,0.298375
7599,0.839714,0.895000,0.802857,0.730000,0.671637,0.785758,0.576652,0.439311
7799,0.838889,0.810000,0.800139,0.705000,0.671200,0.593670,0.573121,0.419406
7999,0.839324,0.855000,0.801486,0.850000,0.672889,0.707720,0.577589,0.700270
8199,0.838421,0.805000,0.801974,0.820000,0.671743,0.607172,0.579955,0.640969
8399,0.839231,0.870000,0.803590,0.865000,0.674247,0.728969,0.585021,0.730593
8599,0.838875,0.825000,0.804250,0.830000,0.674003,0.651464,0.587391,0.659592
8799,0.840854,0.920000,0.804024,0.795000,0.678507,0.835391,0.588332,0.593979
8999,0.841548,0.870000,0.806429,0.905000,0.680344,0.740648,0.594342,0.810038
9199,0.842907,0.900000,0.807442,0.850000,0.683045,0.799700,0.597019,0.699369
9399,0.839886,0.710000,0.809318,0.890000,0.677566,0.436236,0.601609,0.780000
9599,0.839444,0.820000,0.808667,0.780000,0.677121,0.624217,0.601250,0.567270
9799,0.838804,0.810000,0.808696,0.810000,0.676011,0.629449,0.601229,0.600295
9999,0.840319,0.910000,0.807766,0.765000,0.679193,0.819350,0.599760,0.539125
10199,0.841562,0.900000,0.809896,0.910000,0.682253,0.760077,0.605922,0.803665
10399,0.842755,0.900000,0.810510,0.840000,0.684818,0.798975,0.607791,0.680479
10599,0.842700,0.840000,0.811600,0.865000,0.684842,0.683325,0.610316,0.727713
10799,0.842255,0.820000,0.812157,0.840000,0.683854,0.629896,0.611202,0.654614
10999,0.843846,0.925000,0.811731,0.790000,0.686722,0.830814,0.609639,0.490600
11199,0.844057,0.855000,0.811321,0.790000,0.686969,0.699855,0.608676,0.557569
11399,0.844167,0.850000,0.811019,0.795000,0.686701,0.621260,0.607283,0.484536
11599,0.842545,0.755000,0.810364,0.775000,0.683130,0.507538,0.606076,0.548193
11799,0.843036,0.870000,0.811161,0.855000,0.684424,0.729814,0.608662,0.704624
11999,0.841228,0.740000,0.809912,0.740000,0.680592,0.451071,0.605867,0.441041
12199,0.842155,0.895000,0.809052,0.760000,0.682484,0.789621,0.604096,0.504388
12399,0.841949,0.830000,0.808814,0.795000,0.682023,0.655975,0.603692,0.580176
12599,0.839250,0.680000,0.809417,0.845000,0.677013,0.384556,0.605399,0.693009
12799,0.840410,0.910000,0.809180,0.795000,0.679446,0.819712,0.605231,0.591715
12999,0.840726,0.860000,0.809274,0.815000,0.680429,0.690779,0.606281,0.625279
13199,0.840317,0.815000,0.810079,0.860000,0.679764,0.636685,0.608100,0.716828
13399,0.840781,0.870000,0.809844,0.795000,0.680926,0.729589,0.608144,0.592688
13599,0.840231,0.805000,0.810154,0.830000,0.679890,0.615915,0.608711,0.645094
13799,0.841364,0.915000,0.810000,0.800000,0.682291,0.824742,0.608923,0.606493
13999,0.841866,0.875000,0.810821,0.865000,0.683383,0.750748,0.610861,0.729513
14199,0.839338,0.670000,0.811250,0.840000,0.678507,0.371668,0.611804,0.676375
14399,0.838841,0.805000,0.811159,0.805000,0.677321,0.561305,0.611142,0.532934
14599,0.839571,0.890000,0.810214,0.745000,0.678784,0.780592,0.609477,0.503408
14799,0.840634,0.915000,0.809930,0.790000,0.680869,0.830000,0.608970,0.580000
14999,0.838819,0.710000,0.809792,0.800000,0.676749,0.046053,0.607945,0.425287
15199,0.836986,0.705000,0.808151,0.690000,0.672870,0.435407,0.604785,0.402064
15399,0.837027,0.840000,0.808581,0.840000,0.672692,0.603960,0.605042,0.583333
15599,0.834933,0.680000,0.808133,0.775000,0.668063,0.210656,0.603738,0.477595
15799,0.832434,0.645000,0.806974,0.720000,0.662700,0.216681,0.601190,0.401901
15999,0.830455,0.680000,0.805065,0.660000,0.658395,0.296935,0.597071,0.269681
16199,0.830449,0.830000,0.804679,0.775000,0.658112,0.599104,0.595899,0.486301
16399,0.829937,0.790000,0.804051,0.755000,0.656937,0.559009,0.594522,0.484753
16599,0.828000,0.675000,0.802562,0.685000,0.652787,0.337681,0.591593,0.365047
16799,0.827654,0.800000,0.802284,0.780000,0.651550,0.307479,0.590242,0.364896
16999,0.827805,0.840000,0.801768,0.760000,0.651378,0.519231,0.588471,0.339934
17199,0.826566,0.725000,0.801807,0.805000,0.648347,0.184460,0.587911,0.473684
17399,0.826488,0.820000,0.802024,0.820000,0.647858,0.554951,0.587867,0.567464
17599,0.826882,0.860000,0.802882,0.875000,0.648764,0.722222,0.590111,0.751787
17799,0.827733,0.900000,0.804419,0.935000,0.650707,0.799277,0.593714,0.869974
17999,0.828103,0.860000,0.806322,0.970000,0.651470,0.718395,0.597650,0.937997
18199,0.828693,0.880000,0.807784,0.935000,0.652527,0.743590,0.600599,0.862579
18399,0.829101,0.865000,0.809382,0.950000,0.653079,0.678648,0.603574,0.885163
18599,0.829722,0.885000,0.811111,0.965000,0.653956,0.688262,0.606616,0.910692
18799,0.830934,0.940000,0.812637,0.950000,0.656269,0.869806,0.609600,0.891505
18999,0.831902,0.920000,0.814239,0.960000,0.658196,0.835238,0.612943,0.917038
19199,0.829731,0.630000,0.813763,0.770000,0.653848,0.331164,0.612558,0.562072
19399,0.830213,0.875000,0.815319,0.960000,0.654821,0.746450,0.615770,0.917012
19599,0.830105,0.820000,0.816684,0.945000,0.654636,0.642254,0.618926,0.890263
19799,0.830625,0.880000,0.817865,0.930000,0.655652,0.755899,0.621575,0.859325
19999,0.831082,0.875000,0.819021,0.930000,0.656649,0.751046,0.624316,0.859958
