# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1800_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1800 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1800,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1801,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1802,0.666667,0.666667,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1803,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1804,0.400000,0.400000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1805,0.333333,0.333333,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1806,0.285714,0.285714,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1807,0.250000,0.250000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1808,0.333333,0.333333,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1999,0.715000,0.715000,0.880000,0.880000,0.448209,0.448209,0.728660,0.728660
2199,0.722500,0.730000,0.862500,0.845000,0.417476,0.374348,0.671544,0.605297
2399,0.755000,0.820000,0.803333,0.685000,0.498008,0.651163,0.577566,0.406780
2599,0.768750,0.810000,0.796250,0.775000,0.531971,0.631783,0.562034,0.516129
2799,0.789000,0.870000,0.797000,0.800000,0.576798,0.740441,0.572639,0.599319
2999,0.801667,0.865000,0.815000,0.905000,0.598434,0.688725,0.599606,0.748411
3199,0.793571,0.745000,0.812857,0.800000,0.586908,0.517867,0.598981,0.592377
3399,0.810625,0.930000,0.813125,0.815000,0.622735,0.853602,0.608254,0.636899
3599,0.820000,0.895000,0.829444,0.960000,0.640000,0.772826,0.639519,0.908842
3799,0.823000,0.850000,0.836000,0.895000,0.638869,0.325691,0.644122,0.579832
3999,0.836818,0.975000,0.829545,0.765000,0.666539,0.948454,0.629465,0.486900
4199,0.842500,0.905000,0.828750,0.820000,0.674857,0.760343,0.623764,0.530578
4399,0.836923,0.770000,0.826538,0.800000,0.658027,0.298780,0.613975,0.431818
4599,0.840357,0.885000,0.824643,0.800000,0.668796,0.769447,0.616304,0.599720
4799,0.847000,0.940000,0.823667,0.810000,0.682498,0.875052,0.614235,0.585334
4999,0.846562,0.840000,0.823438,0.820000,0.677556,0.480519,0.608682,0.433249
5199,0.844706,0.815000,0.824118,0.835000,0.676537,0.638389,0.614342,0.670790
5399,0.835556,0.680000,0.817222,0.700000,0.656145,0.324110,0.599644,0.368753
5599,0.837368,0.870000,0.817895,0.830000,0.658445,0.699352,0.600114,0.606846
5799,0.831750,0.725000,0.813750,0.735000,0.649545,0.478475,0.594167,0.475455
5999,0.833810,0.875000,0.809048,0.715000,0.653374,0.731125,0.582850,0.338900
6199,0.837955,0.925000,0.803636,0.690000,0.664368,0.845361,0.574700,0.400677
6399,0.835652,0.785000,0.801522,0.755000,0.659683,0.557795,0.569984,0.465765
6599,0.836250,0.850000,0.802917,0.835000,0.658538,0.555160,0.569979,0.526134
6799,0.839800,0.925000,0.803000,0.805000,0.665966,0.844560,0.570701,0.587476
6999,0.841154,0.875000,0.800385,0.735000,0.668704,0.739854,0.565011,0.429985
7199,0.838519,0.770000,0.797407,0.720000,0.662683,0.511885,0.558836,0.405772
7399,0.834107,0.715000,0.789643,0.580000,0.654518,0.469965,0.545338,0.231895
7599,0.835000,0.860000,0.786379,0.695000,0.656272,0.710355,0.539262,0.373073
7799,0.836500,0.880000,0.783167,0.690000,0.661210,0.750104,0.536092,0.370942
7999,0.836613,0.840000,0.783387,0.790000,0.662748,0.677582,0.538807,0.579874
8199,0.838906,0.910000,0.785312,0.845000,0.668348,0.819513,0.544731,0.690557
8399,0.840000,0.875000,0.785455,0.790000,0.671866,0.740879,0.547237,0.579537
8599,0.840441,0.855000,0.785735,0.795000,0.673525,0.711213,0.548951,0.589096
8799,0.843429,0.945000,0.786429,0.810000,0.680442,0.887640,0.552057,0.628326
8999,0.844583,0.885000,0.787222,0.815000,0.683385,0.770459,0.554902,0.630074
9199,0.846351,0.910000,0.788784,0.845000,0.687092,0.819693,0.558814,0.689254
9399,0.843421,0.735000,0.789868,0.830000,0.681836,0.483330,0.562083,0.662832
9599,0.843077,0.830000,0.789744,0.785000,0.681939,0.639831,0.563144,0.574173
9799,0.842375,0.815000,0.790500,0.820000,0.680725,0.638601,0.564546,0.619973
9999,0.844146,0.915000,0.788171,0.695000,0.684507,0.830508,0.560079,0.407422
10199,0.845357,0.895000,0.791190,0.915000,0.687808,0.747110,0.568542,0.809928
10399,0.846628,0.900000,0.791628,0.810000,0.690656,0.798975,0.570047,0.621476
10599,0.846591,0.845000,0.793295,0.865000,0.690766,0.693009,0.573771,0.727713
10799,0.847000,0.865000,0.793667,0.810000,0.691562,0.727713,0.574156,0.587987
10999,0.848478,0.915000,0.793587,0.790000,0.694189,0.807081,0.573180,0.493915
11199,0.848830,0.865000,0.793617,0.795000,0.694714,0.718280,0.573059,0.566321
11399,0.848750,0.845000,0.794063,0.815000,0.694077,0.619725,0.573017,0.530933
11599,0.846531,0.740000,0.792449,0.715000,0.689366,0.477439,0.569763,0.427136
11799,0.847200,0.880000,0.792700,0.805000,0.691162,0.749922,0.571309,0.606934
11999,0.845294,0.750000,0.790980,0.705000,0.687100,0.468368,0.567555,0.373806
12199,0.845577,0.860000,0.789519,0.715000,0.687692,0.717713,0.564530,0.410914
12399,0.845283,0.830000,0.788774,0.750000,0.687091,0.655975,0.563051,0.486600
12599,0.842222,0.680000,0.789630,0.835000,0.681360,0.384556,0.565377,0.674556
12799,0.843273,0.900000,0.788182,0.710000,0.683641,0.799760,0.562656,0.423917
12999,0.843750,0.870000,0.788482,0.805000,0.685054,0.714191,0.564311,0.605023
13199,0.844123,0.865000,0.789123,0.825000,0.685930,0.732779,0.565739,0.644020
13399,0.844224,0.850000,0.789052,0.785000,0.686463,0.686553,0.566226,0.572819
13599,0.843559,0.805000,0.789237,0.800000,0.685202,0.615915,0.566532,0.584890
13799,0.844417,0.895000,0.789167,0.785000,0.687156,0.782158,0.566963,0.582524
13999,0.845082,0.885000,0.789262,0.795000,0.688604,0.770596,0.567370,0.588436
14199,0.842258,0.670000,0.789597,0.810000,0.683113,0.371668,0.568028,0.610176
14399,0.842063,0.830000,0.789603,0.790000,0.682510,0.616253,0.567404,0.484029
14599,0.842891,0.895000,0.787422,0.650000,0.684265,0.789241,0.563179,0.327247
14799,0.844077,0.920000,0.786692,0.740000,0.686659,0.840000,0.561754,0.480000
14999,0.842500,0.740000,0.787348,0.830000,0.683008,0.177215,0.562226,0.527778
15199,0.842090,0.815000,0.785896,0.690000,0.682180,0.636542,0.559546,0.401024
15399,0.841912,0.830000,0.786618,0.835000,0.681543,0.583333,0.560276,0.581218
15599,0.840072,0.715000,0.786014,0.745000,0.677458,0.310094,0.558548,0.401830
15799,0.836643,0.600000,0.785643,0.760000,0.670144,0.095330,0.557640,0.491579
15999,0.834648,0.695000,0.784718,0.720000,0.665792,0.325072,0.555476,0.391767
16199,0.834722,0.840000,0.784514,0.770000,0.665643,0.619907,0.554494,0.449563
16399,0.833973,0.780000,0.783630,0.720000,0.664025,0.542048,0.552577,0.412012
16599,0.831892,0.680000,0.783041,0.740000,0.659671,0.350452,0.551417,0.472884
16799,0.831467,0.800000,0.783133,0.790000,0.658226,0.307479,0.550640,0.385246
16999,0.831184,0.810000,0.783224,0.790000,0.657103,0.405507,0.549940,0.408117
17199,0.829935,0.735000,0.782857,0.755000,0.654001,0.205397,0.548362,0.318308
17399,0.829872,0.825000,0.782692,0.770000,0.653500,0.565217,0.547445,0.462428
17599,0.830380,0.870000,0.783861,0.875000,0.654705,0.741653,0.550410,0.752573
17799,0.831313,0.905000,0.785875,0.945000,0.656845,0.809428,0.555126,0.889846
17999,0.831852,0.875000,0.787901,0.950000,0.657918,0.745158,0.559301,0.896662
18199,0.832012,0.845000,0.789451,0.915000,0.658031,0.657837,0.562406,0.820296
18399,0.832410,0.865000,0.790904,0.910000,0.658530,0.676026,0.564996,0.793294
18599,0.832976,0.880000,0.792321,0.910000,0.659250,0.672668,0.567201,0.757543
18799,0.834176,0.935000,0.794294,0.960000,0.661519,0.857612,0.571025,0.911534
18999,0.835174,0.920000,0.795988,0.940000,0.663513,0.834660,0.574559,0.875557
19199,0.832759,0.625000,0.795747,0.775000,0.658731,0.323837,0.574834,0.568138
