# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_800_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 800 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
800,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
801,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
802,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
803,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000,0.500000,0.500000
999,0.820000,0.820000,0.885000,0.885000,0.624217,0.624217,0.766022,0.766022
1199,0.830000,0.840000,0.880000,0.875000,0.643007,0.357945,0.738790,0.504950
1399,0.868333,0.945000,0.888333,0.905000,0.704231,0.844193,0.743098,0.741637
1599,0.882500,0.925000,0.890000,0.895000,0.721564,0.773892,0.733172,0.678506
1799,0.868000,0.810000,0.885000,0.865000,0.711605,0.623053,0.738765,0.729350
1999,0.837500,0.685000,0.888333,0.905000,0.654941,0.416234,0.746673,0.785988
2199,0.822143,0.730000,0.881429,0.840000,0.618237,0.374348,0.726418,0.582736
2399,0.826875,0.860000,0.878125,0.855000,0.635916,0.722222,0.731526,0.708249
2599,0.826111,0.820000,0.880556,0.900000,0.638103,0.648437,0.738163,0.788136
2799,0.831500,0.880000,0.883500,0.910000,0.653353,0.760407,0.748676,0.819874
2999,0.835000,0.870000,0.890000,0.955000,0.658418,0.702006,0.759136,0.874020
3199,0.827500,0.745000,0.892500,0.920000,0.646664,0.516313,0.765913,0.834077
3399,0.835385,0.930000,0.893846,0.910000,0.665636,0.854182,0.773442,0.815441
3599,0.840000,0.900000,0.896429,0.930000,0.673974,0.782798,0.777671,0.833650
3799,0.840667,0.850000,0.898333,0.925000,0.669972,0.325691,0.778088,0.720358
3999,0.848750,0.970000,0.902813,0.970000,0.686635,0.938049,0.788856,0.938240
4199,0.851765,0.900000,0.905294,0.945000,0.690513,0.746547,0.793325,0.868610
4399,0.847222,0.770000,0.901944,0.845000,0.677192,0.298780,0.784153,0.571823
4599,0.848158,0.865000,0.902632,0.915000,0.682258,0.729242,0.788014,0.829932
4799,0.849750,0.880000,0.904750,0.945000,0.686228,0.757869,0.792891,0.883053
4999,0.851190,0.880000,0.904286,0.895000,0.686420,0.633252,0.790147,0.694767
5199,0.849318,0.810000,0.906136,0.945000,0.684868,0.628906,0.795510,0.889381
5399,0.843043,0.705000,0.900870,0.785000,0.670923,0.381032,0.784300,0.552270
5599,0.843750,0.860000,0.901458,0.915000,0.671281,0.678161,0.785344,0.809716
5799,0.837600,0.690000,0.903400,0.950000,0.661016,0.417129,0.790371,0.898281
5999,0.839423,0.885000,0.905000,0.945000,0.664275,0.748414,0.793861,0.881030
6199,0.842407,0.920000,0.905926,0.930000,0.672411,0.835813,0.797706,0.857651
6399,0.838750,0.740000,0.904643,0.870000,0.665904,0.506126,0.794901,0.718645
6599,0.839483,0.860000,0.903793,0.880000,0.665460,0.590164,0.792111,0.681529
6799,0.843000,0.945000,0.904167,0.915000,0.672879,0.886668,0.793293,0.824344
6999,0.844516,0.890000,0.903226,0.875000,0.675995,0.771997,0.791652,0.742639
7199,0.842187,0.770000,0.902344,0.875000,0.670579,0.510638,0.789996,0.740341
7399,0.838182,0.710000,0.898182,0.765000,0.662941,0.461967,0.782454,0.540747
7599,0.838824,0.860000,0.898676,0.915000,0.664137,0.710355,0.783934,0.827201
