# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1600_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1600 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1600,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
1601,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000
1602,1.000000,1.000000,0.333333,0.333333,1.000000,1.000000,0.000000,0.000000
1603,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.000000,0.000000
1604,1.000000,1.000000,0.600000,0.600000,1.000000,1.000000,0.000000,0.000000
1605,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000,0.000000,0.000000
1606,1.000000,1.000000,0.714286,0.714286,1.000000,1.000000,0.363636,0.363636
1607,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000,0.500000,0.500000
1799,0.740000,0.740000,0.760000,0.760000,0.486623,0.486623,0.518990,0.518990
1999,0.725000,0.710000,0.750000,0.740000,0.474589,0.436729,0.483258,0.424970
2199,0.721667,0.715000,0.755000,0.765000,0.453963,0.364123,0.469557,0.401579
2399,0.750000,0.835000,0.733750,0.670000,0.504432,0.668008,0.445457,0.372624
2599,0.753000,0.765000,0.728000,0.705000,0.513109,0.550669,0.430560,0.368308
2799,0.768333,0.845000,0.737500,0.785000,0.543054,0.690557,0.455178,0.568966
2999,0.781429,0.860000,0.750714,0.830000,0.567163,0.671400,0.470352,0.534055
3199,0.780000,0.770000,0.756875,0.800000,0.566540,0.561613,0.484589,0.582245
3399,0.795556,0.920000,0.762778,0.810000,0.595958,0.836585,0.505898,0.624988
3599,0.806000,0.900000,0.778000,0.915000,0.615485,0.782798,0.533527,0.800563
3799,0.809091,0.840000,0.787273,0.880000,0.615666,0.260458,0.542254,0.501558
3999,0.822500,0.970000,0.788333,0.800000,0.641785,0.938240,0.544158,0.568268
4199,0.830000,0.920000,0.788462,0.790000,0.653985,0.800970,0.539736,0.447005
4399,0.826071,0.775000,0.788571,0.790000,0.641117,0.318182,0.533967,0.382353
4599,0.827333,0.845000,0.785333,0.740000,0.646807,0.689005,0.532616,0.480364
4799,0.830000,0.870000,0.786563,0.805000,0.652450,0.736522,0.535547,0.579469
4999,0.830882,0.845000,0.787647,0.805000,0.650428,0.500644,0.532320,0.390625
5199,0.828333,0.785000,0.787778,0.790000,0.647656,0.581060,0.536914,0.580671
5399,0.822105,0.710000,0.784737,0.730000,0.633545,0.392097,0.530891,0.434022
5599,0.825500,0.890000,0.787250,0.835000,0.639300,0.753031,0.535343,0.621820
5799,0.817857,0.665000,0.786905,0.780000,0.626385,0.373949,0.537513,0.561709
5999,0.818636,0.835000,0.785909,0.765000,0.627253,0.643089,0.534260,0.458151
6199,0.823043,0.920000,0.785217,0.770000,0.638056,0.835306,0.537029,0.546127
6399,0.819375,0.735000,0.783958,0.755000,0.631519,0.495526,0.534824,0.488838
6599,0.821000,0.860000,0.784800,0.805000,0.632553,0.590164,0.533506,0.439977
