# TEST CONFIGURATION BEGIN
# RandomTreeGenerator: _original_tree_random_state: 0 - _original_sample_random_state: 0 - n_classes: 2 - n_nominal_attributes: 5 - n_numerical_attributes: 5 - n_values_per_nominal_attribute: 5 - max_depth: 5 - min_leaf_depth: 3 - fraction_leaves_per_level: 0.15
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: output_50000.csv - batch_size: 1 - pretrain_size: 100 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
11799,0.638376,0.670000,0.639744,0.690000,0.226514,0.257091,0.221290,0.329295
11999,0.637983,0.615000,0.639916,0.650000,0.226358,0.212518,0.222392,0.280132
12199,0.639339,0.720000,0.641074,0.710000,0.229162,0.401709,0.224482,0.352679
12399,0.639675,0.660000,0.640650,0.615000,0.230542,0.303921,0.224077,0.200913
12599,0.639920,0.655000,0.640160,0.610000,0.231410,0.282893,0.222953,0.153646
12799,0.639528,0.615000,0.640079,0.635000,0.231555,0.240032,0.224056,0.279937
12999,0.639225,0.620000,0.639767,0.620000,0.231274,0.211618,0.223403,0.183147
13199,0.638931,0.620000,0.640076,0.660000,0.230784,0.200421,0.223942,0.258856
13399,0.639925,0.705000,0.640150,0.645000,0.232981,0.376321,0.224139,0.237379
13599,0.640370,0.670000,0.640667,0.675000,0.233680,0.280419,0.224975,0.281450
13799,0.641241,0.700000,0.640657,0.640000,0.235491,0.369483,0.224554,0.198932
13999,0.642374,0.720000,0.640360,0.620000,0.238437,0.426758,0.223983,0.187253
14199,0.642837,0.675000,0.640426,0.645000,0.240017,0.338759,0.224779,0.273286
14399,0.642517,0.620000,0.640559,0.650000,0.239893,0.227014,0.225445,0.268395
14599,0.643310,0.700000,0.640276,0.620000,0.241835,0.377335,0.225049,0.197296
14799,0.642925,0.615000,0.639524,0.585000,0.241312,0.201907,0.223590,0.119644
14999,0.643221,0.665000,0.638725,0.580000,0.241258,0.230239,0.221154,0.031923
15199,0.642848,0.615000,0.639139,0.670000,0.240368,0.175059,0.221783,0.268941
15399,0.643333,0.680000,0.638824,0.615000,0.241563,0.333958,0.221026,0.164678
15599,0.643161,0.630000,0.638839,0.640000,0.241236,0.217428,0.220916,0.211909
15799,0.643885,0.700000,0.638726,0.630000,0.243299,0.388442,0.221192,0.237035
15999,0.644151,0.665000,0.638805,0.645000,0.243793,0.282962,0.221263,0.226916
16199,0.644969,0.710000,0.639752,0.715000,0.245425,0.378682,0.223183,0.380569
16399,0.644479,0.605000,0.639816,0.645000,0.244377,0.163313,0.223095,0.215123
16599,0.644909,0.680000,0.639939,0.650000,0.245409,0.329983,0.223257,0.236475
16799,0.644850,0.640000,0.640060,0.650000,0.244727,0.177331,0.222876,0.185668
16999,0.645444,0.695000,0.640710,0.695000,0.245488,0.311978,0.223632,0.290368
17199,0.646082,0.700000,0.641170,0.680000,0.246199,0.296188,0.224019,0.253644
17399,0.645838,0.625000,0.642081,0.720000,0.245850,0.235786,0.226652,0.432337
17599,0.645657,0.630000,0.642629,0.690000,0.245009,0.159377,0.227565,0.307649
17799,0.645141,0.600000,0.643333,0.705000,0.243894,0.161865,0.229523,0.390370
17999,0.645754,0.700000,0.643687,0.675000,0.244507,0.288425,0.229733,0.256293
18199,0.646022,0.670000,0.644420,0.710000,0.244724,0.259841,0.230953,0.341134
18399,0.646230,0.665000,0.645355,0.730000,0.244530,0.208599,0.232388,0.367978
18599,0.645784,0.605000,0.645892,0.695000,0.243599,0.164021,0.233934,0.365245
18799,0.645829,0.650000,0.646471,0.700000,0.243579,0.245690,0.235272,0.358426
18999,0.645714,0.635000,0.647143,0.710000,0.243085,0.196920,0.236878,0.383765
19199,0.646492,0.720000,0.647330,0.665000,0.244420,0.371986,0.237109,0.259669
19399,0.646839,0.680000,0.647306,0.645000,0.244888,0.288652,0.236973,0.224044
19599,0.646667,0.630000,0.646667,0.585000,0.244612,0.228121,0.236090,0.147319
19799,0.646345,0.615000,0.646751,0.655000,0.244029,0.200747,0.236716,0.290853
19999,0.646734,0.685000,0.647136,0.685000,0.244704,0.312227,0.237590,0.323308
20199,0.647413,0.715000,0.647761,0.710000,0.245673,0.338747,0.238665,0.353040
20399,0.647241,0.630000,0.648621,0.735000,0.245029,0.173738,0.240410,0.418732
20599,0.647561,0.680000,0.649317,0.720000,0.246138,0.347937,0.242446,0.428863
20799,0.647633,0.655000,0.649710,0.690000,0.246284,0.262348,0.243221,0.323661
20999,0.647416,0.625000,0.650191,0.700000,0.245426,0.143640,0.243859,0.309472
21199,0.647299,0.635000,0.650474,0.680000,0.245553,0.259785,0.244947,0.350452
21399,0.646808,0.595000,0.650563,0.660000,0.245076,0.201026,0.245995,0.327066
21599,0.646605,0.625000,0.650837,0.680000,0.244386,0.165925,0.246420,0.296471
21799,0.647281,0.720000,0.651613,0.735000,0.245504,0.370504,0.247689,0.389401
21999,0.647626,0.685000,0.651918,0.685000,0.246234,0.325771,0.248486,0.334882
22199,0.647330,0.615000,0.652579,0.725000,0.245488,0.161585,0.249853,0.401132
22399,0.647803,0.700000,0.653049,0.705000,0.246225,0.327128,0.250735,0.350792
22599,0.648356,0.710000,0.653733,0.730000,0.247055,0.345077,0.251638,0.348141
22799,0.648370,0.650000,0.654009,0.685000,0.247307,0.274461,0.252575,0.348635
22999,0.648384,0.650000,0.654323,0.690000,0.247574,0.273859,0.253466,0.350105
23199,0.648398,0.650000,0.655281,0.765000,0.247466,0.235808,0.255508,0.494624
23399,0.648927,0.710000,0.655751,0.710000,0.248339,0.349776,0.256384,0.361233
23599,0.649149,0.675000,0.656553,0.750000,0.248894,0.312460,0.258250,0.470395
23799,0.649831,0.730000,0.656667,0.670000,0.250183,0.407895,0.258232,0.254743
23999,0.649874,0.655000,0.656904,0.685000,0.250235,0.259339,0.258810,0.327211
24199,0.649710,0.630000,0.657220,0.695000,0.249714,0.185022,0.259431,0.338395
24399,0.649547,0.630000,0.657695,0.715000,0.249162,0.177138,0.260401,0.380569
24599,0.649837,0.685000,0.658204,0.720000,0.249649,0.309059,0.261398,0.384615
24799,0.650121,0.685000,0.658300,0.670000,0.250127,0.309211,0.261666,0.294872
24999,0.649920,0.625000,0.659036,0.750000,0.249853,0.217609,0.263549,0.481812
25199,0.650199,0.685000,0.659801,0.755000,0.249959,0.246592,0.264897,0.445074
25399,0.650672,0.710000,0.660119,0.700000,0.250705,0.344262,0.265365,0.324857
25599,0.650980,0.690000,0.660902,0.760000,0.251140,0.304933,0.267002,0.476668
25799,0.650739,0.620000,0.661051,0.680000,0.250869,0.218429,0.267670,0.343455
25999,0.650695,0.645000,0.661236,0.685000,0.250839,0.246764,0.268178,0.331636
26199,0.650920,0.680000,0.661494,0.695000,0.251597,0.342038,0.268935,0.366036
26399,0.651521,0.730000,0.661787,0.700000,0.252829,0.419792,0.269338,0.321651
26599,0.651811,0.690000,0.662075,0.700000,0.253398,0.345646,0.269617,0.304348
26799,0.651873,0.660000,0.661948,0.645000,0.253851,0.303064,0.269603,0.263485
26999,0.652230,0.700000,0.661413,0.590000,0.254526,0.346619,0.268336,0.095821
27199,0.652177,0.645000,0.660886,0.590000,0.254681,0.268946,0.267482,0.151753
27399,0.652454,0.690000,0.660366,0.590000,0.255061,0.305633,0.266121,0.068499
27599,0.652691,0.685000,0.660218,0.640000,0.255643,0.333615,0.265757,0.216369
27799,0.652924,0.685000,0.659603,0.575000,0.256677,0.368484,0.264822,0.145729
27999,0.652939,0.655000,0.659570,0.655000,0.256696,0.273225,0.264588,0.236219
28199,0.653060,0.670000,0.659502,0.650000,0.257135,0.314143,0.264500,0.252376
28399,0.653498,0.715000,0.659329,0.635000,0.258303,0.413580,0.264326,0.242424
28599,0.653649,0.675000,0.659263,0.650000,0.258263,0.246639,0.263803,0.180712
28799,0.653833,0.680000,0.659373,0.675000,0.258604,0.314775,0.263820,0.264206
28999,0.653910,0.665000,0.659066,0.615000,0.259240,0.325549,0.263481,0.218274
29199,0.653952,0.660000,0.658591,0.590000,0.259755,0.313409,0.262641,0.145833
29399,0.654300,0.705000,0.658498,0.645000,0.260799,0.399185,0.262637,0.258873
29599,0.654373,0.665000,0.658102,0.600000,0.261450,0.327174,0.261982,0.173212
29799,0.654747,0.710000,0.657879,0.625000,0.262374,0.394572,0.261591,0.204328
29999,0.654548,0.625000,0.657826,0.650000,0.261895,0.193548,0.261273,0.208145
