# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_0_batch_size_21_dataset_elec.csv - batch_size: 21 - pretrain_size: 0 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
189,0.614286,0.615000,0.809524,0.820000,0.206401,0.211550,0.617347,0.639567
399,0.657143,0.725000,0.830952,0.845000,0.310156,0.465500,0.655547,0.682051
588,0.656814,0.645000,0.788177,0.705000,0.323423,0.327524,0.565503,0.385673
798,0.702076,0.830000,0.815629,0.905000,0.410315,0.645094,0.628098,0.807497
987,0.696429,0.690000,0.813492,0.810000,0.396610,0.348534,0.626160,0.617591
1197,0.725780,0.890000,0.817734,0.830000,0.460341,0.624317,0.624765,0.329653
1386,0.756930,0.945000,0.827292,0.870000,0.517093,0.852941,0.635082,0.617928
1596,0.784168,0.965000,0.835498,0.885000,0.564813,0.906116,0.645446,0.702996
1785,0.776301,0.725000,0.825028,0.750000,0.554525,0.467158,0.630937,0.509275
1995,0.782738,0.840000,0.813492,0.740000,0.566762,0.670782,0.603534,0.387370
2184,0.781406,0.775000,0.810884,0.755000,0.558830,0.422040,0.590592,0.279624
2394,0.770600,0.670000,0.792547,0.605000,0.534512,0.386902,0.556612,0.255560
2583,0.774194,0.825000,0.790707,0.755000,0.542454,0.650838,0.552181,0.462248
2793,0.772921,0.755000,0.784293,0.710000,0.538764,0.503445,0.542580,0.419071
2982,0.784216,0.955000,0.789544,0.850000,0.558626,0.879195,0.549347,0.600000
3192,0.785870,0.800000,0.785559,0.725000,0.563711,0.611613,0.541457,0.406304
3381,0.793651,0.930000,0.784245,0.760000,0.581260,0.857564,0.543241,0.533301
3591,0.800111,0.930000,0.787375,0.860000,0.593010,0.840619,0.547133,0.654321
3780,0.801631,0.835000,0.790318,0.855000,0.591704,0.226442,0.547308,0.356984
3990,0.803790,0.845000,0.789828,0.790000,0.594543,0.654788,0.545563,0.531250
4179,0.803810,0.815000,0.787143,0.745000,0.591925,0.490498,0.537500,0.331761
4389,0.799320,0.695000,0.784580,0.720000,0.578807,0.127325,0.528104,0.225985
4599,0.803896,0.895000,0.781169,0.705000,0.590416,0.791501,0.524100,0.408581
4788,0.806405,0.875000,0.781244,0.785000,0.595389,0.728791,0.524709,0.533521
4998,0.808528,0.855000,0.782626,0.810000,0.597513,0.626289,0.525046,0.508091
5187,0.806452,0.765000,0.780914,0.745000,0.594771,0.546507,0.522780,0.488671
5397,0.802510,0.695000,0.774825,0.620000,0.585991,0.403598,0.510411,0.256651
5586,0.805422,0.890000,0.777243,0.835000,0.591133,0.753031,0.514620,0.624060
5796,0.801444,0.705000,0.774282,0.705000,0.584994,0.450549,0.510057,0.413169
5985,0.800699,0.785000,0.772061,0.710000,0.582649,0.514234,0.504777,0.342702
6195,0.803089,0.870000,0.770109,0.720000,0.590782,0.715692,0.504520,0.443174
6384,0.800000,0.705000,0.767525,0.690000,0.585093,0.436054,0.498564,0.336188
6594,0.801663,0.845000,0.767045,0.775000,0.586603,0.545321,0.494985,0.322901
6783,0.805850,0.940000,0.767637,0.770000,0.595123,0.874935,0.495962,0.503508
6993,0.808383,0.890000,0.765897,0.715000,0.600196,0.768908,0.491782,0.375000
7182,0.806886,0.765000,0.763293,0.680000,0.596848,0.503801,0.486570,0.320378
7392,0.803453,0.685000,0.761230,0.685000,0.590279,0.424658,0.485084,0.402844
7581,0.804920,0.870000,0.759405,0.680000,0.593443,0.733852,0.482031,0.344866
7791,0.807220,0.885000,0.756784,0.660000,0.600205,0.759162,0.479771,0.320000
7980,0.808274,0.860000,0.755531,0.710000,0.603474,0.717372,0.478308,0.421908
8190,0.810498,0.890000,0.757520,0.840000,0.608880,0.780330,0.484097,0.678230
8379,0.811786,0.875000,0.758214,0.795000,0.612877,0.740287,0.487714,0.590000
8589,0.811963,0.820000,0.759350,0.795000,0.614289,0.634146,0.491453,0.589836
8799,0.815420,0.955000,0.758390,0.720000,0.622486,0.905838,0.491105,0.464576
8988,0.815407,0.825000,0.760240,0.835000,0.622918,0.657869,0.495458,0.666330
9198,0.817551,0.915000,0.759735,0.740000,0.627690,0.829932,0.495517,0.482072
9387,0.815051,0.690000,0.758078,0.675000,0.623484,0.399458,0.493247,0.357326
9597,0.814099,0.790000,0.755459,0.625000,0.622507,0.553998,0.488607,0.270854
9786,0.813704,0.780000,0.755685,0.775000,0.622012,0.579310,0.489051,0.532516
9996,0.817111,0.975000,0.753719,0.660000,0.629411,0.949104,0.485793,0.370370
10185,0.817460,0.845000,0.754360,0.800000,0.631007,0.611723,0.488963,0.578415
10395,0.818164,0.860000,0.754800,0.770000,0.632824,0.717543,0.490393,0.542607
10584,0.818293,0.825000,0.755870,0.815000,0.633384,0.656728,0.492941,0.626338
10794,0.817661,0.790000,0.755617,0.740000,0.632103,0.580000,0.491834,0.426302
10983,0.819520,0.920000,0.756816,0.825000,0.635528,0.822459,0.493606,0.584027
11193,0.820671,0.885000,0.757714,0.825000,0.637606,0.749619,0.495097,0.603803
11382,0.820837,0.840000,0.756994,0.730000,0.637460,0.606880,0.492870,0.336609
11592,0.820288,0.790000,0.755360,0.675000,0.636094,0.572127,0.489488,0.335378
11781,0.820115,0.820000,0.755380,0.745000,0.636302,0.620893,0.490730,0.484432
11991,0.819181,0.765000,0.753330,0.625000,0.634119,0.498720,0.486060,0.191810
12180,0.820261,0.890000,0.751988,0.680000,0.636428,0.779404,0.483610,0.346472
12390,0.821449,0.885000,0.750705,0.660000,0.639039,0.769215,0.481182,0.324324
12579,0.816746,0.535000,0.749762,0.660000,0.630165,0.122807,0.479824,0.332614
12789,0.818267,0.915000,0.749336,0.715000,0.633410,0.828491,0.479313,0.444661
12999,0.818740,0.840000,0.748618,0.690000,0.634789,0.653380,0.478603,0.389764
13188,0.819896,0.905000,0.749716,0.825000,0.637241,0.810682,0.481168,0.642930
13398,0.819882,0.830000,0.749087,0.705000,0.637692,0.617419,0.480949,0.407512
13587,0.820032,0.840000,0.748236,0.695000,0.638103,0.685936,0.478995,0.369574
13797,0.820886,0.870000,0.747720,0.720000,0.640079,0.734991,0.478490,0.451142
13986,0.822160,0.880000,0.748697,0.805000,0.642783,0.761051,0.480831,0.608198
14196,0.819512,0.645000,0.749244,0.790000,0.637669,0.354545,0.481673,0.552000
14385,0.819797,0.840000,0.748855,0.735000,0.638045,0.638826,0.480195,0.310793
14595,0.820881,0.900000,0.747332,0.640000,0.640366,0.796189,0.477680,0.329047
14784,0.821614,0.885000,0.747248,0.735000,0.641722,0.768052,0.477308,0.458078
14994,0.819913,0.685000,0.747519,0.755000,0.637730,0.041096,0.476821,0.325997
15183,0.817943,0.650000,0.745593,0.585000,0.633587,0.348292,0.473217,0.224444
15393,0.818412,0.845000,0.746854,0.830000,0.634161,0.590056,0.474751,0.536279
15582,0.816510,0.680000,0.746267,0.715000,0.629915,0.210656,0.473203,0.341649
15792,0.813255,0.550000,0.744830,0.635000,0.622817,0.000000,0.470079,0.238790
15981,0.811274,0.650000,0.744282,0.700000,0.618443,0.215335,0.468878,0.364474
16191,0.811559,0.830000,0.743400,0.685000,0.618693,0.609375,0.466590,0.282133
16380,0.811109,0.765000,0.742760,0.680000,0.617615,0.504324,0.465113,0.326032
16590,0.809464,0.690000,0.741858,0.685000,0.614015,0.348739,0.463313,0.351852
16779,0.809286,0.800000,0.742262,0.775000,0.613089,0.307479,0.463161,0.327153
16989,0.808936,0.770000,0.742916,0.785000,0.611745,0.284937,0.463588,0.447727
17199,0.807956,0.715000,0.742973,0.740000,0.609249,0.251969,0.462670,0.259786
17388,0.807628,0.790000,0.743351,0.790000,0.608234,0.479876,0.463013,0.517519
17598,0.807310,0.785000,0.743402,0.765000,0.607930,0.566357,0.463798,0.530563
17787,0.807839,0.860000,0.743542,0.760000,0.609248,0.722084,0.464554,0.518797
17997,0.808025,0.815000,0.744700,0.835000,0.609613,0.627091,0.466825,0.653798
18186,0.808590,0.865000,0.744604,0.745000,0.610580,0.704142,0.466334,0.429658
