# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1400_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1400 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1401,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000
1402,0.333333,0.333333,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000
1403,0.500000,0.500000,0.500000,0.500000,0.200000,0.200000,0.200000,0.200000
1404,0.600000,0.600000,0.600000,0.600000,0.285714,0.285714,0.285714,0.285714
1405,0.666667,0.666667,0.666667,0.666667,0.400000,0.400000,0.400000,0.400000
1406,0.714286,0.714286,0.714286,0.714286,0.461538,0.461538,0.461538,0.461538
1599,0.850000,0.850000,0.930000,0.930000,0.488840,0.488840,0.796777,0.796777
1799,0.850000,0.850000,0.895000,0.860000,0.667700,0.700808,0.772160,0.720252
1999,0.850000,0.850000,0.858333,0.785000,0.671760,0.682170,0.682267,0.476758
2199,0.836250,0.795000,0.845000,0.805000,0.632322,0.492323,0.642960,0.503438
2399,0.782000,0.565000,0.807000,0.655000,0.522700,0.232804,0.578779,0.350282
2599,0.792500,0.845000,0.798333,0.755000,0.552807,0.689379,0.558330,0.454343
2799,0.790000,0.775000,0.797143,0.790000,0.551023,0.548011,0.564393,0.579285
2999,0.811250,0.960000,0.810625,0.905000,0.587815,0.890366,0.585579,0.755028
3199,0.812778,0.825000,0.808889,0.795000,0.597143,0.655851,0.584191,0.571040
3399,0.823000,0.915000,0.809000,0.810000,0.627188,0.828040,0.593529,0.624988
3599,0.833182,0.935000,0.817727,0.905000,0.646810,0.854846,0.609207,0.777100
3799,0.832917,0.830000,0.824583,0.900000,0.637598,0.191439,0.615283,0.604665
3999,0.829615,0.790000,0.821154,0.780000,0.629716,0.540733,0.607866,0.523552
4199,0.825357,0.770000,0.819643,0.800000,0.615622,0.336124,0.600728,0.468156
4399,0.818667,0.725000,0.818667,0.805000,0.594919,0.112903,0.594334,0.455307
4599,0.824375,0.910000,0.814063,0.745000,0.613318,0.819982,0.590549,0.489592
4799,0.827647,0.880000,0.812647,0.790000,0.620279,0.732977,0.587654,0.541685
4999,0.824722,0.775000,0.811389,0.790000,0.608347,0.187139,0.579681,0.307388
5199,0.826579,0.860000,0.809211,0.770000,0.616771,0.721781,0.579297,0.542197
5399,0.815000,0.595000,0.803750,0.700000,0.590007,0.118607,0.567710,0.367556
5599,0.818095,0.880000,0.804286,0.815000,0.596512,0.728997,0.567739,0.565626
5799,0.818409,0.825000,0.801136,0.735000,0.600971,0.659732,0.564174,0.476802
5999,0.814348,0.725000,0.799130,0.755000,0.590323,0.321155,0.558635,0.424748
6199,0.817500,0.890000,0.795417,0.710000,0.601476,0.782286,0.554265,0.439343
6399,0.819000,0.855000,0.791800,0.705000,0.604253,0.672316,0.546191,0.350220
6599,0.817885,0.790000,0.791346,0.780000,0.598561,0.324324,0.542175,0.364162
