# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1500_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1500 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1501,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1502,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1503,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1504,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1505,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1506,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1599,0.930000,0.930000,0.890000,0.890000,0.832215,0.832215,0.753363,0.753363
1799,0.810000,0.750000,0.853333,0.835000,0.627646,0.506660,0.705291,0.670987
1999,0.812000,0.815000,0.836000,0.810000,0.627858,0.617373,0.655323,0.543104
2199,0.802857,0.780000,0.825714,0.800000,0.594571,0.462563,0.616376,0.468156
2399,0.766667,0.640000,0.790000,0.665000,0.518650,0.345455,0.555369,0.373832
2599,0.777273,0.825000,0.784545,0.760000,0.543279,0.653465,0.542677,0.484979
2799,0.776923,0.775000,0.783077,0.775000,0.542285,0.548465,0.546193,0.549550
2999,0.800667,0.955000,0.795333,0.875000,0.583547,0.877518,0.562172,0.654982
3199,0.800588,0.800000,0.792353,0.770000,0.587568,0.612516,0.557148,0.519582
3399,0.814211,0.930000,0.792632,0.795000,0.620112,0.857564,0.565225,0.600623
3599,0.822857,0.905000,0.801905,0.890000,0.636194,0.792848,0.581148,0.740811
3799,0.823913,0.835000,0.807826,0.870000,0.630748,0.226442,0.583902,0.445983
3999,0.824400,0.830000,0.808400,0.815000,0.630492,0.633028,0.585235,0.602578
4199,0.823333,0.810000,0.809259,0.820000,0.623863,0.474048,0.582585,0.511732
4399,0.817241,0.735000,0.809655,0.815000,0.605237,0.166667,0.578857,0.483240
4599,0.821935,0.890000,0.805161,0.740000,0.619874,0.779758,0.574486,0.480156
4799,0.824242,0.860000,0.805152,0.805000,0.624729,0.700214,0.574778,0.579469
4999,0.825714,0.850000,0.805429,0.810000,0.623519,0.520460,0.570327,0.401763
5199,0.824324,0.800000,0.804054,0.780000,0.624586,0.609375,0.571077,0.559295
5399,0.818205,0.705000,0.798462,0.695000,0.610822,0.375132,0.559318,0.358840
5599,0.820732,0.870000,0.801463,0.860000,0.615284,0.704680,0.565049,0.680073
5799,0.814884,0.695000,0.800698,0.785000,0.606571,0.425828,0.566119,0.571115
5999,0.813778,0.790000,0.798000,0.740000,0.603722,0.539272,0.559505,0.409359
6199,0.817234,0.895000,0.794681,0.720000,0.615009,0.778714,0.556383,0.447459
6399,0.813061,0.715000,0.791633,0.720000,0.607748,0.459818,0.549660,0.390973
6599,0.814902,0.860000,0.790588,0.765000,0.609072,0.590164,0.544391,0.325101
6799,0.819623,0.940000,0.789623,0.765000,0.619288,0.875467,0.542466,0.496896
6999,0.822000,0.885000,0.788727,0.765000,0.624509,0.761312,0.540577,0.495924
7199,0.820175,0.770000,0.787193,0.745000,0.620325,0.511885,0.537341,0.455361
7399,0.814915,0.665000,0.783898,0.690000,0.610526,0.394542,0.533841,0.416416
7599,0.816721,0.870000,0.782131,0.730000,0.614466,0.731544,0.530781,0.442437
7799,0.818889,0.885000,0.780159,0.720000,0.621385,0.759162,0.529889,0.440000
7999,0.820154,0.860000,0.779231,0.750000,0.625758,0.717372,0.529818,0.501346
8199,0.822239,0.890000,0.781045,0.840000,0.631252,0.779272,0.535542,0.680288
8399,0.823768,0.875000,0.783043,0.850000,0.636024,0.740287,0.541848,0.700987
8599,0.823944,0.830000,0.784085,0.820000,0.637497,0.662162,0.545245,0.639567
8799,0.826986,0.935000,0.783699,0.770000,0.644970,0.864893,0.545982,0.552529
8999,0.826933,0.825000,0.785333,0.845000,0.645750,0.651116,0.550441,0.689814
9199,0.829481,0.925000,0.786494,0.830000,0.651245,0.849850,0.553475,0.659080
9399,0.826076,0.695000,0.785949,0.765000,0.645230,0.408800,0.553392,0.534746
9599,0.825926,0.820000,0.783580,0.690000,0.646001,0.612903,0.549642,0.395240
9799,0.824578,0.770000,0.784096,0.805000,0.643669,0.561613,0.550516,0.586075
9999,0.827647,0.955000,0.781647,0.680000,0.650288,0.909620,0.545815,0.378641
10199,0.828046,0.845000,0.783218,0.850000,0.652193,0.611723,0.551231,0.677281
10399,0.828989,0.870000,0.783596,0.800000,0.654525,0.737877,0.552612,0.602030
10599,0.829121,0.835000,0.784505,0.825000,0.655107,0.675899,0.554763,0.646036
10799,0.828172,0.785000,0.784624,0.790000,0.653195,0.570000,0.554581,0.540431
10999,0.830316,0.930000,0.785474,0.825000,0.657190,0.844462,0.555545,0.582339
11199,0.831134,0.870000,0.785567,0.790000,0.658655,0.729082,0.555556,0.555132
11399,0.831515,0.850000,0.785556,0.785000,0.658846,0.621260,0.554543,0.454868
11599,0.830297,0.770000,0.784356,0.725000,0.656168,0.537828,0.552194,0.447347
11799,0.830680,0.850000,0.784175,0.775000,0.657471,0.685699,0.552904,0.546462
11999,0.829238,0.755000,0.782286,0.685000,0.654338,0.479941,0.548678,0.316555
12199,0.830467,0.895000,0.781589,0.745000,0.656904,0.789621,0.547367,0.478741
12399,0.831468,0.885000,0.780367,0.715000,0.659059,0.771235,0.544868,0.412007
12599,0.826396,0.550000,0.778919,0.700000,0.649480,0.149419,0.542525,0.411130
12799,0.827876,0.910000,0.778673,0.765000,0.652635,0.819784,0.542342,0.532896
12999,0.828348,0.855000,0.777304,0.700000,0.654109,0.675978,0.540478,0.413547
13199,0.829402,0.890000,0.778205,0.830000,0.656334,0.781399,0.542457,0.653909
13399,0.829412,0.830000,0.778235,0.780000,0.656726,0.643120,0.543201,0.563362
13599,0.829008,0.805000,0.777107,0.710000,0.656042,0.620105,0.540762,0.392797
13799,0.830325,0.910000,0.776829,0.760000,0.658945,0.812402,0.540835,0.533301
13999,0.831120,0.880000,0.777520,0.820000,0.660703,0.761051,0.542475,0.638409
14199,0.828583,0.670000,0.777795,0.795000,0.655843,0.378297,0.543026,0.580004
14399,0.828295,0.810000,0.777519,0.760000,0.655074,0.579646,0.541715,0.387755
14599,0.829313,0.895000,0.776183,0.690000,0.657197,0.789621,0.539278,0.403100
14799,0.830150,0.885000,0.775338,0.720000,0.658839,0.770000,0.537596,0.440000
14999,0.828370,0.710000,0.776074,0.825000,0.654723,0.046053,0.538160,0.505650
15199,0.825766,0.650000,0.774818,0.690000,0.649274,0.336430,0.535923,0.401024
15399,0.826043,0.845000,0.775612,0.830000,0.649523,0.618227,0.536792,0.579208
15599,0.823972,0.680000,0.775035,0.735000,0.644901,0.210656,0.535155,0.390945
15799,0.820350,0.565000,0.774126,0.710000,0.637107,0.000000,0.533095,0.380540
15999,0.818000,0.650000,0.772966,0.690000,0.631964,0.215335,0.530588,0.346887
16199,0.818435,0.850000,0.772245,0.720000,0.632487,0.635613,0.528579,0.353871
16399,0.817718,0.765000,0.771477,0.715000,0.630880,0.504324,0.526908,0.402390
16599,0.815695,0.665000,0.770265,0.680000,0.626576,0.317719,0.524553,0.353601
16799,0.815490,0.800000,0.770327,0.775000,0.625521,0.307479,0.523670,0.345930
16999,0.815097,0.785000,0.770903,0.815000,0.624094,0.303305,0.524029,0.517475
17199,0.814459,0.765000,0.770701,0.755000,0.622254,0.339331,0.522713,0.296583
17399,0.814403,0.810000,0.771069,0.800000,0.621707,0.516232,0.522866,0.528246
17599,0.813975,0.780000,0.771304,0.790000,0.621131,0.556452,0.523971,0.582006
17799,0.814540,0.860000,0.771963,0.825000,0.622595,0.718650,0.525860,0.649930
17999,0.814909,0.845000,0.773091,0.865000,0.623343,0.686425,0.528052,0.711353
18199,0.815509,0.865000,0.773653,0.820000,0.624399,0.709677,0.528984,0.605263
18399,0.816036,0.860000,0.774438,0.840000,0.625162,0.670743,0.530047,0.608035
18599,0.816901,0.890000,0.775614,0.875000,0.626413,0.684090,0.531655,0.652488
18799,0.818728,0.975000,0.777514,0.940000,0.629939,0.944885,0.535300,0.866444
18999,0.819886,0.920000,0.779143,0.920000,0.632255,0.834660,0.538680,0.832898
19199,0.819492,0.785000,0.778192,0.695000,0.631777,0.578266,0.537509,0.426907
19399,0.818939,0.770000,0.779274,0.875000,0.630762,0.554264,0.539641,0.733475
19599,0.818619,0.790000,0.779834,0.830000,0.630314,0.579369,0.541172,0.661927
19799,0.818361,0.795000,0.780656,0.855000,0.629799,0.584768,0.543092,0.707012
19999,0.818432,0.825000,0.781622,0.870000,0.630155,0.649158,0.545469,0.741165
