# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_500_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 500 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
501,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
599,0.730000,0.730000,0.910000,0.910000,0.496269,0.496269,0.804007,0.804007
799,0.806667,0.845000,0.913333,0.915000,0.608196,0.664937,0.826782,0.825855
999,0.812000,0.820000,0.924000,0.940000,0.614659,0.624217,0.847671,0.878543
1199,0.820000,0.840000,0.920000,0.910000,0.643708,0.357945,0.835126,0.618644
1399,0.845556,0.935000,0.921111,0.925000,0.686309,0.820838,0.830952,0.781469
1599,0.861818,0.935000,0.922727,0.930000,0.709878,0.807007,0.828884,0.799743
1799,0.853846,0.810000,0.914615,0.870000,0.700711,0.623501,0.816596,0.740389
1999,0.835333,0.715000,0.910000,0.880000,0.664646,0.448209,0.805517,0.728660
2199,0.822941,0.730000,0.902353,0.845000,0.635602,0.374348,0.785996,0.605297
2399,0.822632,0.820000,0.879474,0.685000,0.636471,0.651163,0.740594,0.406780
2599,0.821429,0.810000,0.869524,0.775000,0.636130,0.631783,0.719193,0.516129
2799,0.825652,0.870000,0.863478,0.800000,0.646858,0.740441,0.708878,0.599319
2999,0.828800,0.865000,0.866800,0.905000,0.651443,0.688725,0.712636,0.748411
3199,0.822593,0.745000,0.861852,0.800000,0.641380,0.517867,0.703492,0.592377
3399,0.830000,0.930000,0.858621,0.815000,0.658084,0.853602,0.700290,0.636899
3599,0.834194,0.895000,0.865161,0.960000,0.665626,0.772826,0.712991,0.908842
3799,0.835152,0.850000,0.866970,0.895000,0.663189,0.325691,0.712383,0.579832
3999,0.843143,0.975000,0.861143,0.765000,0.679210,0.948454,0.699320,0.486900
4199,0.846486,0.905000,0.858919,0.820000,0.683950,0.760343,0.692405,0.530578
4399,0.842564,0.770000,0.855897,0.800000,0.672487,0.298780,0.683128,0.431818
4599,0.844634,0.885000,0.853171,0.800000,0.678926,0.769447,0.680489,0.599720
4799,0.849070,0.940000,0.851163,0.810000,0.687979,0.875052,0.676074,0.585334
4999,0.848667,0.840000,0.849778,0.820000,0.684364,0.480519,0.670087,0.433249
5199,0.847234,0.815000,0.849149,0.835000,0.683256,0.638389,0.671054,0.670790
5399,0.840408,0.680000,0.843061,0.700000,0.668034,0.324110,0.657900,0.368753
5599,0.841569,0.870000,0.842549,0.830000,0.669306,0.699352,0.656085,0.606846
5799,0.837170,0.725000,0.838491,0.735000,0.662147,0.478475,0.649194,0.475455
5999,0.838545,0.875000,0.834000,0.715000,0.664620,0.731125,0.638695,0.338900
6199,0.841579,0.925000,0.828947,0.690000,0.672582,0.845361,0.630009,0.400677
6399,0.839661,0.785000,0.826441,0.755000,0.668665,0.557795,0.624485,0.465765
6599,0.840000,0.850000,0.826721,0.835000,0.667527,0.555160,0.623026,0.526134
6799,0.842698,0.925000,0.826032,0.805000,0.673098,0.844560,0.621846,0.587476
6999,0.843692,0.875000,0.823231,0.735000,0.675040,0.739854,0.615701,0.429985
7199,0.841493,0.770000,0.820149,0.720000,0.669986,0.511885,0.609166,0.405772
7399,0.837826,0.715000,0.813188,0.580000,0.663042,0.469965,0.596350,0.231895
7599,0.838451,0.860000,0.809859,0.695000,0.664197,0.710355,0.589849,0.373073
7799,0.839589,0.880000,0.806575,0.690000,0.667974,0.750104,0.585510,0.370942
7999,0.839600,0.840000,0.806133,0.790000,0.669060,0.677582,0.586265,0.579874
8199,0.841429,0.910000,0.807143,0.845000,0.673541,0.819513,0.589830,0.690557
8399,0.842278,0.875000,0.806709,0.790000,0.676362,0.740879,0.590631,0.579537
8599,0.842593,0.855000,0.806420,0.795000,0.677668,0.711213,0.590934,0.589096
8799,0.845060,0.945000,0.806506,0.810000,0.683416,0.887640,0.592427,0.628326
8999,0.846000,0.885000,0.806706,0.815000,0.685870,0.770459,0.593851,0.630074
9199,0.847471,0.910000,0.807586,0.845000,0.688960,0.819693,0.596253,0.689254
9399,0.844944,0.735000,0.808090,0.830000,0.684479,0.483330,0.598205,0.662832
9599,0.844615,0.830000,0.807582,0.785000,0.684558,0.639831,0.598258,0.574173
9799,0.843978,0.815000,0.807849,0.820000,0.683481,0.638601,0.598723,0.619973
9999,0.845474,0.915000,0.805474,0.695000,0.686695,0.830508,0.594072,0.407422
10199,0.846495,0.895000,0.807732,0.915000,0.689578,0.747110,0.600673,0.809928
10399,0.847576,0.900000,0.807778,0.810000,0.692049,0.798975,0.601319,0.621476
10599,0.847525,0.845000,0.808911,0.865000,0.692140,0.693009,0.603964,0.727713
10799,0.847864,0.865000,0.808932,0.810000,0.692812,0.727713,0.603724,0.587987
10999,0.849143,0.915000,0.808571,0.790000,0.695058,0.807081,0.602306,0.493915
11199,0.849439,0.865000,0.808318,0.795000,0.695483,0.718280,0.601648,0.566321
11399,0.849358,0.845000,0.808440,0.815000,0.694868,0.619725,0.601103,0.530933
11599,0.847387,0.740000,0.806757,0.715000,0.690657,0.477439,0.597682,0.427136
11799,0.847965,0.880000,0.806726,0.805000,0.692258,0.749922,0.598539,0.606934
11999,0.846261,0.750000,0.804957,0.705000,0.688612,0.468368,0.594726,0.373806
12199,0.846496,0.860000,0.803419,0.715000,0.689113,0.717713,0.591553,0.410914
