# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_400_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 400 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
401,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
599,0.670000,0.670000,0.820000,0.820000,0.386902,0.386902,0.641613,0.641613
799,0.772500,0.875000,0.845000,0.870000,0.542920,0.731760,0.689783,0.735045
999,0.790000,0.825000,0.860000,0.890000,0.572476,0.635036,0.718725,0.775510
1199,0.805000,0.850000,0.881250,0.945000,0.617741,0.428354,0.759661,0.798017
1399,0.835000,0.955000,0.890000,0.925000,0.670272,0.874267,0.770645,0.781469
1599,0.853333,0.945000,0.895833,0.925000,0.700255,0.850299,0.776667,0.786992
1799,0.844286,0.790000,0.891429,0.865000,0.686866,0.584117,0.771046,0.729676
1999,0.824375,0.685000,0.886250,0.850000,0.649478,0.416234,0.759355,0.675360
2199,0.813889,0.730000,0.880556,0.835000,0.623984,0.357831,0.743731,0.579832
2399,0.819500,0.870000,0.867000,0.745000,0.635834,0.743083,0.718931,0.506770
2599,0.816364,0.785000,0.865909,0.855000,0.630718,0.580897,0.716726,0.694737
2799,0.821667,0.880000,0.866667,0.875000,0.642768,0.760455,0.720035,0.749599
2999,0.825385,0.870000,0.868846,0.895000,0.648740,0.702006,0.721313,0.706047
3199,0.820000,0.750000,0.871071,0.900000,0.639891,0.526560,0.726137,0.788874
3399,0.827000,0.925000,0.872333,0.890000,0.654935,0.842833,0.732135,0.777035
3599,0.831562,0.900000,0.877500,0.955000,0.663207,0.784483,0.741705,0.894416
3799,0.832941,0.855000,0.878235,0.890000,0.662034,0.356984,0.739478,0.554385
3999,0.841111,0.980000,0.877778,0.870000,0.678243,0.959079,0.738709,0.726460
4199,0.845789,0.930000,0.875789,0.840000,0.685870,0.827437,0.732853,0.594475
4399,0.842500,0.780000,0.871500,0.790000,0.676017,0.337349,0.721171,0.389535
4599,0.841905,0.830000,0.872857,0.900000,0.676894,0.658806,0.726415,0.799940
4799,0.843864,0.885000,0.873636,0.890000,0.681118,0.768472,0.728212,0.765558
4999,0.844130,0.850000,0.872391,0.845000,0.679042,0.520460,0.723230,0.522783
5199,0.841250,0.775000,0.874583,0.925000,0.674931,0.562937,0.729396,0.849398
5399,0.835800,0.705000,0.870400,0.770000,0.662692,0.381032,0.720562,0.520584
5599,0.837308,0.875000,0.870577,0.875000,0.664696,0.715197,0.720532,0.718532
5799,0.830926,0.665000,0.872222,0.915000,0.653653,0.373949,0.725220,0.830000
5999,0.831071,0.835000,0.872500,0.880000,0.653610,0.650941,0.725585,0.735216
6199,0.834483,0.930000,0.873103,0.890000,0.661899,0.855447,0.728938,0.776989
6399,0.830833,0.725000,0.873667,0.890000,0.655348,0.483277,0.730229,0.767712
6599,0.831774,0.860000,0.872742,0.845000,0.655490,0.590164,0.726930,0.571112
6799,0.835000,0.935000,0.871563,0.835000,0.661812,0.864893,0.724629,0.655028
6999,0.836515,0.885000,0.870455,0.835000,0.664650,0.761312,0.722290,0.650941
7199,0.834559,0.770000,0.867206,0.760000,0.659975,0.511885,0.715208,0.488055
7399,0.830429,0.690000,0.862000,0.685000,0.651645,0.433065,0.705681,0.396667
7599,0.831111,0.855000,0.859306,0.765000,0.652800,0.700846,0.700333,0.518738
7799,0.832162,0.870000,0.856486,0.755000,0.656229,0.725159,0.695758,0.516097
7999,0.832763,0.855000,0.857368,0.890000,0.658345,0.707720,0.698658,0.779934
8199,0.834744,0.910000,0.857564,0.865000,0.662894,0.819621,0.699944,0.730324
8399,0.835875,0.880000,0.858625,0.900000,0.666096,0.750960,0.703246,0.799338
8599,0.836220,0.850000,0.860244,0.925000,0.667374,0.701433,0.707217,0.849790
8799,0.838690,0.940000,0.861190,0.900000,0.672975,0.876543,0.710082,0.801114
8999,0.839070,0.855000,0.861744,0.885000,0.674242,0.710752,0.711723,0.769816
9199,0.840568,0.905000,0.862045,0.875000,0.677292,0.809734,0.712762,0.749700
9399,0.838000,0.725000,0.863444,0.925000,0.672670,0.463205,0.715979,0.849003
9599,0.837826,0.830000,0.864565,0.915000,0.672930,0.639831,0.719068,0.828802
9799,0.837128,0.805000,0.865745,0.920000,0.671725,0.620327,0.721471,0.832898
9999,0.839271,0.940000,0.866250,0.890000,0.676170,0.880000,0.722956,0.781312
10199,0.840306,0.890000,0.867653,0.935000,0.678913,0.734043,0.726870,0.860635
10399,0.841300,0.890000,0.869400,0.955000,0.681136,0.778739,0.730814,0.910162
10599,0.841176,0.835000,0.871078,0.955000,0.681035,0.673203,0.734408,0.909109
10799,0.840769,0.820000,0.871346,0.885000,0.680141,0.631487,0.734744,0.748908
10999,0.841698,0.890000,0.872170,0.915000,0.681706,0.754108,0.736184,0.811697
11199,0.842037,0.860000,0.871389,0.830000,0.682231,0.710594,0.734513,0.644760
11399,0.842000,0.840000,0.871182,0.860000,0.681645,0.592616,0.733664,0.663340
11599,0.840446,0.755000,0.870446,0.830000,0.678226,0.507538,0.732306,0.659216
11799,0.841140,0.880000,0.871491,0.930000,0.679982,0.749922,0.734954,0.859084
11999,0.839397,0.740000,0.870000,0.785000,0.676264,0.449094,0.731744,0.540304
12199,0.839746,0.860000,0.870424,0.895000,0.676961,0.717713,0.732685,0.786151
12399,0.839500,0.825000,0.870917,0.900000,0.676453,0.646821,0.733806,0.797632
12599,0.836557,0.660000,0.871639,0.915000,0.670987,0.347847,0.735499,0.830238
12799,0.837581,0.900000,0.871855,0.885000,0.673133,0.799920,0.736183,0.770322
12999,0.838254,0.880000,0.873175,0.955000,0.674828,0.739781,0.739409,0.907673
13199,0.838906,0.880000,0.874453,0.955000,0.676173,0.760000,0.742108,0.908907
13399,0.839308,0.865000,0.875846,0.965000,0.677253,0.718867,0.745299,0.929691
13599,0.838864,0.810000,0.876970,0.950000,0.676453,0.627305,0.747581,0.896822
13799,0.839925,0.910000,0.878209,0.960000,0.678777,0.812987,0.750479,0.918905
13999,0.840441,0.875000,0.879338,0.955000,0.679945,0.751046,0.752917,0.909838
14199,0.837971,0.670000,0.879493,0.890000,0.675201,0.375000,0.753175,0.770355
14399,0.837571,0.810000,0.879429,0.875000,0.674218,0.576837,0.752782,0.706917
