# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_300_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 300 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
300,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
399,0.770000,0.770000,0.860000,0.860000,0.441205,0.441205,0.689303,0.689303
599,0.736667,0.720000,0.770000,0.725000,0.476821,0.472445,0.541183,0.458128
799,0.772000,0.825000,0.760000,0.745000,0.531057,0.624464,0.515699,0.482968
999,0.781429,0.805000,0.771429,0.800000,0.548101,0.591623,0.538240,0.595142
1199,0.804444,0.885000,0.792222,0.865000,0.616422,0.606299,0.582075,0.450996
1399,0.833636,0.965000,0.805455,0.865000,0.671283,0.903528,0.598485,0.569790
1599,0.849231,0.935000,0.816154,0.875000,0.696129,0.807007,0.610192,0.623153
1799,0.834667,0.740000,0.808667,0.760000,0.671018,0.486623,0.599171,0.518990
1999,0.820000,0.710000,0.800588,0.740000,0.642540,0.436729,0.579980,0.424970
2199,0.808947,0.715000,0.796842,0.765000,0.617985,0.364123,0.566551,0.401579
2399,0.811429,0.835000,0.784762,0.670000,0.623122,0.668008,0.546376,0.372624
2599,0.807391,0.765000,0.777826,0.705000,0.616458,0.550669,0.531147,0.368308
2799,0.810400,0.845000,0.778400,0.785000,0.623134,0.690557,0.534577,0.568966
2999,0.814074,0.860000,0.782222,0.830000,0.629014,0.671400,0.537440,0.534055
3199,0.811034,0.770000,0.783448,0.800000,0.624344,0.561613,0.540617,0.582245
3399,0.818065,0.920000,0.785161,0.810000,0.638354,0.836585,0.548909,0.624988
3599,0.823030,0.900000,0.793030,0.915000,0.647382,0.782798,0.563299,0.800563
3799,0.824000,0.840000,0.798000,0.880000,0.645535,0.260458,0.567556,0.501558
3999,0.831892,0.970000,0.798108,0.800000,0.660878,0.938240,0.567366,0.568268
4199,0.836410,0.920000,0.797692,0.790000,0.668098,0.800970,0.563527,0.447005
4399,0.833415,0.775000,0.797317,0.790000,0.658887,0.318182,0.558877,0.382353
4599,0.833953,0.845000,0.794651,0.740000,0.661822,0.689005,0.556378,0.480364
4799,0.835556,0.870000,0.795111,0.805000,0.665154,0.736522,0.557401,0.579469
4999,0.835957,0.845000,0.795532,0.805000,0.663355,0.500644,0.554560,0.390625
5199,0.833878,0.785000,0.795306,0.790000,0.660684,0.581060,0.556759,0.580671
5399,0.829020,0.710000,0.792745,0.730000,0.649706,0.392097,0.551431,0.434022
5599,0.831321,0.890000,0.794340,0.835000,0.653469,0.753031,0.554056,0.621820
5799,0.825273,0.665000,0.793818,0.780000,0.643043,0.373949,0.554911,0.561709
5999,0.825614,0.835000,0.792807,0.765000,0.643161,0.643089,0.551856,0.458151
6199,0.828814,0.920000,0.792034,0.770000,0.650893,0.835306,0.553160,0.546127
6399,0.825738,0.735000,0.790820,0.755000,0.645339,0.495526,0.550913,0.488838
6599,0.826825,0.860000,0.791270,0.805000,0.645806,0.590164,0.549510,0.439977
6799,0.830000,0.930000,0.789231,0.725000,0.651987,0.854288,0.544981,0.407711
6999,0.831343,0.875000,0.789254,0.790000,0.654421,0.739854,0.545031,0.551426
7199,0.829275,0.760000,0.786522,0.695000,0.649484,0.489362,0.538788,0.340113
7399,0.824366,0.655000,0.781549,0.610000,0.639430,0.379385,0.530552,0.283352
7599,0.825068,0.850000,0.778904,0.685000,0.640533,0.689087,0.525343,0.347691
7799,0.826533,0.880000,0.775200,0.640000,0.644644,0.751037,0.519698,0.302596
7999,0.827662,0.870000,0.774286,0.740000,0.647672,0.738825,0.519409,0.481090
8199,0.829620,0.905000,0.774177,0.770000,0.652184,0.809657,0.520540,0.542061
8399,0.830370,0.860000,0.775062,0.810000,0.654580,0.710774,0.524296,0.620418
8599,0.830843,0.850000,0.774940,0.770000,0.656136,0.701433,0.524954,0.538523
8799,0.833059,0.925000,0.775294,0.790000,0.661218,0.846343,0.527113,0.591440
8999,0.833678,0.860000,0.776437,0.825000,0.662978,0.720698,0.530365,0.649509
9199,0.835056,0.895000,0.776854,0.795000,0.665786,0.789663,0.531876,0.589014
9399,0.832747,0.730000,0.777363,0.800000,0.661704,0.473274,0.533667,0.599038
9599,0.832796,0.835000,0.777527,0.785000,0.662430,0.650941,0.535225,0.577686
9799,0.832211,0.805000,0.778105,0.805000,0.661435,0.619066,0.536480,0.596273
9999,0.834124,0.925000,0.776907,0.720000,0.665416,0.850270,0.534508,0.452483
10199,0.835455,0.900000,0.778081,0.835000,0.668778,0.760077,0.538920,0.651015
10399,0.836238,0.875000,0.779604,0.855000,0.670558,0.748946,0.542731,0.711040
10599,0.836214,0.835000,0.781650,0.885000,0.670668,0.673203,0.547331,0.768379
10799,0.835714,0.810000,0.782667,0.835000,0.669543,0.605932,0.549042,0.636404
