# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_2400_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 2400 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
2400,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2401,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2402,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2403,0.750000,0.750000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
2404,0.800000,0.800000,1.000000,1.000000,0.545455,0.545455,1.000000,1.000000
2405,0.833333,0.833333,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000
2406,0.857143,0.857143,1.000000,1.000000,0.720000,0.720000,1.000000,1.000000
2407,0.875000,0.875000,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000
2408,0.888889,0.888889,1.000000,1.000000,0.769231,0.769231,1.000000,1.000000
2409,0.900000,0.900000,0.900000,0.900000,0.782609,0.782609,0.800000,0.800000
2410,0.818182,0.818182,0.909091,0.909091,0.607143,0.607143,0.813559,0.813559
2411,0.833333,0.833333,0.916667,0.916667,0.657143,0.657143,0.833333,0.833333
2599,0.805000,0.805000,0.965000,0.965000,0.616896,0.616896,0.927235,0.927235
