# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1000_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1000 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1001,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1002,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1003,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1004,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1199,0.845000,0.845000,0.960000,0.960000,0.386139,0.386139,0.854862,0.854862
1399,0.895000,0.945000,0.975000,0.990000,0.656793,0.844193,0.923998,0.973337
1599,0.910000,0.940000,0.966667,0.950000,0.716446,0.823191,0.901290,0.859016
1799,0.881250,0.795000,0.971250,0.985000,0.711264,0.593657,0.929186,0.969982
1999,0.847000,0.710000,0.972000,0.975000,0.652756,0.457589,0.932687,0.944506
2199,0.831667,0.755000,0.965833,0.935000,0.615029,0.419844,0.917675,0.841926
2399,0.835000,0.855000,0.961429,0.935000,0.638671,0.712871,0.913458,0.866530
2599,0.831875,0.810000,0.964375,0.985000,0.639230,0.628906,0.920957,0.968685
2799,0.831111,0.825000,0.967222,0.990000,0.644306,0.650419,0.928859,0.979998
2999,0.836000,0.880000,0.968000,0.975000,0.651838,0.718343,0.929541,0.932886
3199,0.831364,0.785000,0.969545,0.985000,0.647191,0.588201,0.933450,0.969053
3399,0.838333,0.915000,0.971667,0.995000,0.666700,0.821878,0.939509,0.989646
3599,0.842308,0.890000,0.972692,0.985000,0.674021,0.762931,0.941419,0.965390
3799,0.842857,0.850000,0.974286,0.995000,0.668753,0.325691,0.944006,0.983918
3999,0.851333,0.970000,0.974333,0.975000,0.686991,0.938049,0.944363,0.948454
4199,0.854375,0.900000,0.975000,0.985000,0.690873,0.746547,0.945607,0.965092
4399,0.849118,0.765000,0.970588,0.900000,0.675419,0.279141,0.935524,0.739583
4599,0.849444,0.855000,0.971389,0.985000,0.679797,0.709419,0.937975,0.969988
4799,0.851316,0.885000,0.970789,0.960000,0.684304,0.762151,0.936829,0.916701
4999,0.852000,0.865000,0.970500,0.965000,0.682509,0.578125,0.935755,0.906116
5199,0.849524,0.800000,0.970714,0.975000,0.680341,0.609375,0.936593,0.949637
5399,0.842500,0.695000,0.969318,0.940000,0.664640,0.357624,0.933816,0.877912
5599,0.843913,0.875000,0.970000,0.985000,0.666633,0.713500,0.935279,0.967554
5799,0.837292,0.685000,0.970208,0.975000,0.655849,0.408451,0.935951,0.949208
5999,0.839000,0.880000,0.970800,0.985000,0.658987,0.736727,0.937235,0.967914
6199,0.842308,0.925000,0.971538,0.990000,0.668412,0.846311,0.939341,0.979602
6399,0.839444,0.765000,0.971667,0.975000,0.663542,0.546682,0.939641,0.947335
6599,0.840357,0.865000,0.969643,0.915000,0.663375,0.607330,0.935025,0.775726
6799,0.843448,0.930000,0.969655,0.970000,0.670132,0.855551,0.935192,0.938800
6999,0.844500,0.875000,0.969333,0.960000,0.672485,0.741254,0.934624,0.918192
7199,0.841935,0.765000,0.969194,0.965000,0.666585,0.499361,0.934433,0.928367
7399,0.839063,0.750000,0.965625,0.855000,0.661757,0.527053,0.927309,0.706180
7599,0.838939,0.835000,0.965909,0.975000,0.661902,0.664566,0.928046,0.949454
7799,0.839265,0.850000,0.965147,0.940000,0.664784,0.676724,0.926816,0.877800
7999,0.840571,0.885000,0.966143,1.000000,0.668712,0.768751,0.929133,1.000000
8199,0.843194,0.935000,0.966667,0.985000,0.674909,0.870000,0.930428,0.969982
8399,0.844189,0.880000,0.967027,0.980000,0.678220,0.752654,0.931410,0.959690
